protocol,direction,method,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,log_loss,brier_score,auroc,pr_auc,average_precision,subject
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0,0,0,0,0,0,2.2087710494607391,0.78766303510605384,0,0.41666666666666663,0.58333333333333326,5
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,0.59528580098300876,0.20535874140784402,1,1,1,6
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.33333333333333331,0.5,0,1,,0,1.0760539207240905,0.39543543841214418,1,1,1,7
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,1.0236902148500147,0.30662741400685012,0,0.41666666666666663,0.58333333333333326,8
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.62164462188122027,0.2153769698516389,1,1,1,9
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.64191071050892623,0.22502571572778243,0.5,0.79166666666666663,0.83333333333333326,10
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0,0,0,0,0,0,1.5649595438448731,0.62131316836209372,0,0.41666666666666663,0.58333333333333326,11
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,0.91919962277756306,0.31004732538360807,0.5,0.79166666666666663,0.83333333333333326,12
cross_task,arithmetic_to_stroop,cbsf_target_task_gain,3,1,2,1,1,1,1,1,1,0.43411705980429227,0.12813271135652904,1,1,1,13
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,0.61511456448042545,0.21353078186103025,0.5,0.79166666666666663,0.83333333333333326,1
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,2.0456650408600772,0.41101089341823621,0.5,0.79166666666666663,0.83333333333333326,2
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0.66666666666666663,0.5,1,0,0.66666666666666663,0.80000000000000004,2.8693261271153356,0.3332115606272264,0.5,0.79166666666666663,0.83333333333333326,3
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,1,1,1,1,1,1,0.22108481791098591,0.045580900777121652,1,1,1,4
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,0,0,0,0,0,0,10.707520976483011,0.99125037357321089,0,0.41666666666666663,0.58333333333333326,5
cross_task,stroop_to_arithmetic,cbsf_target_task_gain,3,1,2,1,1,1,1,1,1,0.51546673042862401,0.1633482494552557,1,1,1,6
