dataset,setting,setting_display,comparison_family,primary_metric,reference_method,reference_display,method,method_display,n_participants,reference_mean,method_mean,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,paired_difference_sd,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,common_language_superiority,ci95_percentile_low,ci95_percentile_high,ci95_percentile_low_pp,ci95_percentile_high_pp,wilcoxon_statistic,wilcoxon_raw_p,wilcoxon_status,wilcoxon_zero_method,wilcoxon_calculation,n_zero_differences,n_nonzero_differences,wilcoxon_bh_39_26_sensitivity,wilcoxon_bh_65_primary,wilcoxon_significant_39_26_sensitivity,wilcoxon_significant_65_primary,exact_two_sided_sign_flip_p,sign_flip_bh_65,sign_flip_bh_39_26_sensitivity,sign_flip_significant_65,family_policy
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),dasf_clean,DASF,13,0.49038461538461536,0.47115384615384615,-0.019230769230769232,-1.9230769230769231,0,0.16012815380508713,-0.12009611535381536,-0.19736842105263158,3,5,5,0.42307692307692307,-0.096153846153846159,0.067307692307692304,-9.6153846153846168,6.7307692307692308,30.5,0.58488188024016241,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,0.89097595717456024,0.97065325533141766,False,False,0.828125,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),cbsf,CB-SF,13,0.49038461538461536,0.50961538461538458,0.019230769230769232,1.9230769230769231,0,0.10008009612817946,0.19215378456610457,0.23636363636363636,3,8,2,0.53846153846153844,-0.028846153846153848,0.076923076923076927,-2.8846153846153846,7.6923076923076925,21,0.59864184325500447,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,0.89097595717456024,0.97065325533141766,False,False,0.75,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),riemann_ts_logreg,Riemannian TS-LR,13,0.49038461538461536,0.46153846153846156,-0.028846153846153848,-2.8846153846153846,0,0.13649105352479221,-0.21134098610290408,-0.20987654320987653,4,4,5,0.46153846153846156,-0.096153846153846159,0.038461538461538464,-9.6153846153846168,3.8461538461538463,32,0.53759619918098678,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",4,9,0.89097595717456024,0.97065325533141766,False,False,0.6171875,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),riemann_mdm,Riemannian MDM,13,0.49038461538461536,0.52884615384615385,0.038461538461538464,3.8461538461538463,0,0.18669699845141924,0.2060104810498419,0.17105263157894737,4,5,4,0.5,-0.057692307692307696,0.14423076923076922,-5.7692307692307692,14.423076923076922,31.5,0.63657491080679018,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,0.89097595717456024,0.97065325533141766,False,False,0.5859375,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),eegnet,EEGNet,13,0.49038461538461536,0.50961538461538458,0.019230769230769232,1.9230769230769231,0,0.20314040868577979,0.094667374921528463,0.026315789473684209,4,5,4,0.5,-0.076923076923076927,0.125,-7.6923076923076925,12.5,37,0.94205182242562269,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,1,1,False,False,0.875,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),eeg_conformer,EEG-Conformer,13,0.49038461538461536,0.55769230769230771,0.067307692307692304,6.7307692307692308,0,0.23725527202269733,0.28369313665347434,0.20987654320987653,5,4,4,0.53846153846153844,-0.038461538461538464,0.20192307692307693,-3.8461538461538463,20.192307692307693,32,0.53772985084887948,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",4,9,0.89097595717456024,0.97065325533141766,False,False,0.5,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),always_fuse,Neural-classical stacking,13,0.5,0.46153846153846156,-0.038461538461538464,-3.8461538461538463,0,0.33612612101824108,-0.11442591353812462,-0.23684210526315788,3,5,5,0.42307692307692307,-0.21153846153846154,0.13461538461538461,-21.153846153846153,13.461538461538462,29,0.51199220429708381,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,1,0.97065325533141766,False,False,0.84375,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),rf,Random forest,13,0.5,0.46153846153846156,-0.038461538461538464,-3.8461538461538463,0,0.20016019225635892,-0.19215378456610457,-0.52727272727272723,1,8,4,0.38461538461538464,-0.13461538461538461,0.076923076923076927,-13.461538461538462,7.6923076923076925,13,0.24032466564725907,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,1,0.97065325533141766,False,False,0.75,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),extra_trees,Extra Trees,13,0.5,0.5,0,0,0,0.17677669529663689,0,-0.27777777777777779,1,10,2,0.46153846153846156,-0.076923076923076927,0.096153846153846159,-7.6923076923076925,9.6153846153846168,13,0.63101970092217519,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",10,3,1,0.97065325533141766,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),fixed_blend_010,Fixed blend (10%),13,0.5,0.53846153846153844,0.038461538461538464,3.8461538461538463,0,0.13867504905630729,0.27735009811261457,1,1,12,0,0.53846153846153844,0,0.11538461538461539,0,11.538461538461538,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,1,1,0.97065325533141766,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),fixed_blend_025,Fixed blend (25%),13,0.5,0.55769230769230771,0.057692307692307696,5.7692307692307692,0,0.1497861723788195,0.38516444325982169,1,2,11,0,0.57692307692307687,0,0.15384615384615385,0,15.384615384615385,0,0.15763116017860512,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",11,2,1,0.97065325533141766,False,False,0.5,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),equal_blend_050,Equal blend (50%),13,0.5,0.51923076923076927,0.019230769230769232,1.9230769230769231,0,0.18988863132818751,0.10127393670836665,0.043478260869565216,2,9,2,0.5,-0.076923076923076927,0.11538461538461539,-7.6923076923076925,11.538461538461538,22,0.93090123504037769,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",9,4,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),stack_recording,OOF recording-level stacking,13,0.5,0.46153846153846156,-0.038461538461538464,-3.8461538461538463,0,0.24677405839641225,-0.15585730003983936,-0.30158730158730157,2,7,4,0.42307692307692307,-0.17307692307692307,0.096153846153846159,-17.307692307692307,9.6153846153846168,22,0.46409272472775898,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,1,0.97065325533141766,False,False,0.78125,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),dasf_clean,DASF,13,0.5,0.46153846153846156,-0.038461538461538464,-3.8461538461538463,0,0.32025630761017426,-0.12009611535381536,-0.30158730158730157,2,7,4,0.42307692307692307,-0.19230769230769232,0.13461538461538461,-19.230769230769234,13.461538461538462,22,0.4650851471978289,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,1,0.97065325533141766,False,False,0.84375,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),cbsf,CB-SF,13,0.5,0.53846153846153844,0.038461538461538464,3.8461538461538463,0,0.24677405839641223,0.15585730003983939,0.043478260869565216,2,9,2,0.5,-0.076923076923076927,0.17307692307692307,-7.6923076923076925,17.307692307692307,22,0.93090123504037769,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",9,4,1,1,False,False,0.875,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),riemann_ts_logreg,Riemannian TS-LR,13,0.5,0.5,0,0,0,0.27003086243366087,0,0,4,5,4,0.5,-0.13461538461538461,0.13461538461538461,-13.461538461538462,13.461538461538462,38,1,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",5,8,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),riemann_mdm,Riemannian MDM,13,0.5,0.48076923076923078,-0.019230769230769232,-1.9230769230769231,0,0.18988863132818751,-0.10127393670836665,-0.043478260869565216,2,9,2,0.5,-0.13461538461538461,0.076923076923076927,-13.461538461538462,7.6923076923076925,22,0.93090123504037769,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",9,4,1,1,False,False,1,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),eegnet,EEGNet,13,0.5,0.53846153846153844,0.038461538461538464,3.8461538461538463,0,0.20016019225635892,0.19215378456610457,0.23636363636363636,3,8,2,0.53846153846153844,-0.057692307692307696,0.15384615384615385,-5.7692307692307692,15.384615384615385,21,0.59864184325500447,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,5,1,0.97065325533141766,False,False,0.75,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Feature-MLP (neural reference),eeg_conformer,EEG-Conformer,13,0.5,0.55769230769230771,0.057692307692307696,5.7692307692307692,0,0.20801257358446096,0.27735009811261452,0.36507936507936506,4,7,2,0.57692307692307687,-0.038461538461538464,0.17307692307692307,-3.8461538461538463,17.307692307692307,20,0.37387874466417137,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,1,0.97065325533141766,False,False,0.53125,1,1,False,primary: all 65 against Feature-MLP; separate 39/26 only sensitivity
