source_family,contrast_label,n_participants,mean_difference_pp,ci95_low_pp,ci95_high_pp,primary_raw_p,sensitivity_wilcoxon_raw_p,bh_adjusted_p_exact_79,bh_adjusted_p_wilcoxon_79_sensitivity,exact_bh_significant_0_05,wilcoxon_bh_significant_0_05
legacy_65,Arithmetic LOSO | EEGNet,15,-3.333333333333333,-16.666666666666664,10,0.8125,0.66252058354005761,1,1,False,False
legacy_65,Arithmetic LOSO | EEG-Conformer,15,6.666666666666667,-5,16.666666666666664,0.3984375,0.1491130551381564,1,0.95791243493152334,False,False
legacy_65,Stroop LOSO | Neural-classical stacking,13,-1.9230769230769231,-11.538461538461538,7.6923076923076925,1,0.93090123504037758,1,1,False,False
legacy_65,Stroop LOSO | Random forest,13,-9.6153846153846168,-23.07692307692308,1.9230769230769231,0.28125,0.20433024733906621,1,0.99466338110432129,False,False
legacy_65,Stroop LOSO | Extra Trees,13,-3.8461538461538463,-15.384615384615383,7.6923076923076925,0.765625,0.34829421412482792,1,0.99466338110432129,False,False
legacy_65,Stroop LOSO | Fixed blend (10%),13,-1.9230769230769231,-5.7692307692307692,0,1,0.31731050786291409,1,0.99466338110432129,False,False
legacy_65,Stroop LOSO | Fixed blend (25%),13,-1.9230769230769231,-5.7692307692307692,0,1,0.31731050786291409,1,0.99466338110432129,False,False
legacy_65,Stroop LOSO | Equal blend (50%),13,-1.9230769230769231,-5.7692307692307692,0,1,0.31731050786291409,1,0.99466338110432129,False,False
legacy_65,Stroop LOSO | OOF recording-level stacking,13,-5.7692307692307692,-15.384615384615383,1.9230769230769231,0.5,0.29809282200470749,1,0.99466338110432129,False,False
legacy_65,Stroop LOSO | DASF,13,0,0,0,1,1,1,1,False,False
legacy_65,Stroop LOSO | CB-SF,13,-7.6923076923076925,-19.230769230769237,0,0.5,0.15729920705028511,1,0.95791243493152334,False,False
legacy_65,Stroop LOSO | Riemannian TS-LR,13,-17.307692307692307,-28.846153846153843,-5.7692307692307692,0.046875,0.028671432706728901,1,0.95791243493152334,False,False
legacy_65,Stroop LOSO | Riemannian MDM,13,-3.8461538461538463,-17.307692307692307,9.6153846153846168,0.796875,0.76959796941660352,1,1,False,False
legacy_65,Stroop LOSO | EEGNet,13,-5.7692307692307692,-21.153846153846157,7.6923076923076925,0.6171875,0.53759619918098667,1,0.99466338110432129,False,False
legacy_65,Stroop LOSO | EEG-Conformer,13,-9.6153846153846168,-21.153846153846157,0,0.25,0.15729920705028511,1,0.95791243493152334,False,False
new_heldout_gain_14,loso_arithmetic:heldout DASF vs Feature-MLP,15,0,0,0,1,1,1,1,False,False
new_heldout_gain_14,loso_arithmetic:heldout DASF vs original DASF,15,0,0,0,1,1,1,1,False,False
new_heldout_gain_14,loso_arithmetic:heldout CB-SF vs Feature-MLP,15,0,0,0,1,1,1,1,False,False
new_heldout_gain_14,loso_arithmetic:heldout CB-SF vs original CB-SF,15,1.6666666666666667,-3.333333333333333,6.666666666666667,1,0.5637028616507731,1,0.99466338110432129,False,False
new_heldout_gain_14,loso_stroop:heldout DASF vs Feature-MLP,13,0,0,0,1,1,1,1,False,False
new_heldout_gain_14,loso_stroop:heldout DASF vs original DASF,13,0,0,0,1,1,1,1,False,False
new_heldout_gain_14,loso_stroop:heldout CB-SF vs Feature-MLP,13,-7.6923076923076925,-19.230769230769237,0,0.5,0.15729920705028511,1,0.95791243493152334,False,False
new_heldout_gain_14,loso_stroop:heldout CB-SF vs original CB-SF,13,0,0,0,1,1,1,1,False,False
new_heldout_gain_14,cross_task_arithmetic_to_stroop:target-task-gain CB-SF vs Feature-MLP,13,1.9230769230769231,0,5.7692307692307692,1,0.31731050786291409,1,0.99466338110432129,False,False
new_heldout_gain_14,cross_task_arithmetic_to_stroop:target-task-gain CB-SF vs original CB-SF,13,1.9230769230769231,0,5.7692307692307692,1,0.31731050786291409,1,0.99466338110432129,False,False
new_heldout_gain_14,cross_task_stroop_to_arithmetic:target-task-gain CB-SF vs Feature-MLP,13,9.6153846153846168,0,23.07692307692308,0.5,0.1576311601786051,1,0.95791243493152334,False,False
new_heldout_gain_14,cross_task_stroop_to_arithmetic:target-task-gain CB-SF vs original CB-SF,13,5.7692307692307692,0,11.538461538461538,0.25,0.083264516663550406,1,0.95791243493152334,False,False
new_heldout_gain_14,cross_task_bidirectional:target-task-gain CB-SF vs Feature-MLP,13,5.7692307692307692,0,12.5,0.25,0.083978310679576895,1,0.95791243493152334,False,False
new_heldout_gain_14,cross_task_bidirectional:target-task-gain CB-SF vs original CB-SF,13,3.8461538461538463,0.96153846153846156,6.7307692307692308,0.125,0.045500263896358403,1,0.95791243493152334,False,False
