method,setting,subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,training_rows,training_subjects,gain,delta_cov,margin,selected_fusion,direction
cbsf_double_exclusion_gain,arithmetic_loso,8,0.23359255711580568,0.3133060062797981,0.21075893650462788,0.6635208821677053,0.9040503853096452,0.5440674870552548,0.04588968967459485,0.04588968967459485,0.6161299903588586,False,1.2754435904203496,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,8,,,,,,,,,,,,,,0.0357142857142857,1.062936965372876,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,9,0.23702825397151495,0.2048116404189469,0.32193956077425623,0.6012472830238886,0.8353105059470951,0.7257744977997524,0.08027793796999894,0.08027793796999894,0.6935061310240461,False,2.1830551688433615,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,9,,,,,,,,,,,,,,0.0535714285714286,1.5526259675125782,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,10,0.26131788353571594,0.24051630119315687,0.39624292305138514,0.6742050876099196,0.8067454334760856,0.036124003353662296,-0.011028958214251011,-0.011028958214251011,1.0,False,0.806572642789272,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,10,,,,,,,,,,,,,,-0.017857142857142794,0.9758917589191581,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,11,0.19614002371201084,0.21860783322801813,0.4004324063225768,0.6611964046624755,0.8164375813315052,0.07940739673918137,0.0,-0.010360641129520069,0.8821929646912006,False,1.1317201584834935,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,11,,,,,,,,,,,,,,0.0357142857142857,1.9433992096738288,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,12,0.19012483915734738,0.2851479390586691,0.26721274290739827,0.6613577138788694,0.897756325517783,0.7948713828913778,0.11614034823686382,0.11614034823686382,0.3054692584706302,False,0.4998664846895416,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,12,,,,,,,,,,,,,,0.0357142857142857,0.9984975890223037,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,13,0.24427205115699502,0.22270116254400238,0.1869432726030157,0.5683357977944056,0.9228265147334445,0.1389521920851748,0.0104643145605479,0.0104643145605479,0.8331647839106114,False,3.2243198100432187,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,13,,,,,,,,,,,,,,0.017857142857142794,1.658114229026026,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,14,0.4620743221288893,0.2689448160248094,0.26986308511912754,0.6536043405071624,0.8836219697148776,0.048238636633039095,-0.01469595006399943,-0.01469595006399943,0.8045844578351754,False,1.2152114524157087,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,14,,,,,,,,,,,,,,0.05357142857142849,1.265457385198147,0.15,False,
cbsf_double_exclusion_gain,arithmetic_loso,15,0.16477582078398245,0.20481402585273276,0.42373447287448607,0.6549880653543851,0.792131161257936,0.06068654401699484,0.0,0.0,1.0,False,2.3952066989362537,14.0,14.0,,,,,
dasf_double_exclusion_gain,arithmetic_loso,15,,,,,,,,,,,,,,0.017857142857142905,1.5673779976026476,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,1,0.44367598500816663,0.2363162937916121,0.5135786207852939,0.6694674454291577,0.7421810475305278,0.7627183283516777,0.09818934086609157,0.09818934086609157,0.7564320290831449,False,2.217581619829245,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,1,,,,,,,,,,,,,,0.0625,1.9089746232766402,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,2,0.2841410148838628,0.23474034898505702,0.051135978752901566,0.5391354931679455,0.9774206383425496,0.06068654401699484,0.0,0.03249508146828604,1.0,False,2.0606613840318677,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,2,,,,,,,,,,,,,,-0.04166666666666674,1.7228635989181742,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,3,0.1725622801065263,0.285142362677575,0.262977927361056,0.6290968974590072,0.8894498503561775,0.6732960613899411,0.0624958784803055,0.0624958784803055,0.581784780457973,False,1.046122314656153,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,3,,,,,,,,,,,,,,0.0625,1.56059191156225,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,4,0.41729748953828943,0.3164895651999222,0.3983034860066833,0.6710737246097863,0.8367998666090264,0.7915445612251105,0.1072759549331824,0.1072759549331824,0.32984857821044883,False,2.220289633826451,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,4,,,,,,,,,,,,,,0.04166666666666674,0.8855388830619768,0.15,False,
cbsf_double_exclusion_gain,stroop_loso,5,0.25026640918603915,0.2419189566219693,0.3571202511145015,0.646610426299422,0.8430634970408305,0.009501072269389671,-0.04634465770611997,-0.04634465770611997,0.841610700879567,False,1.0160300961480229,12.0,12.0,,,,,
dasf_double_exclusion_gain,stroop_loso,5,,,,,,,,,,,,,,-0.02083333333333337,1.1571899490536488,0.15,False,
