feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,feature_shift_original,feature_shift_robust,outer_subject,meta_subject,seed,benefit
0.4236755755037152,0.2936426125110791,0.1872384025449934,0.6472796317368555,0.9225194058127392,0.7041593194007874,0.4236755755037152,2,4,1494,0.0
0.4236755755037152,0.2860879231816763,0.2847207209067426,0.6673995331121589,0.8772268600453479,0.7041593194007874,0.4236755755037152,2,4,1547,-0.25
0.2220071591275968,0.226422218447657,0.1214833850219113,0.5505901680845321,0.948789564316923,0.3010129928588867,0.2220071591275968,2,5,1335,-0.25
0.2220071591275968,0.2540281815669173,0.1136051660888247,0.5770218771277873,0.9556759995041472,0.3010129928588867,0.2220071591275968,2,5,1388,0.0
0.2220071591275968,0.2147715118014629,0.1095947176846573,0.5277532681393565,0.9542104532321294,0.3010129928588867,0.2220071591275968,2,5,1441,-0.25
0.2220071591275968,0.2209893329348603,0.1080351931751273,0.5418173058649248,0.9553424394491948,0.3010129928588867,0.2220071591275968,2,5,1494,-0.25
0.2220071591275968,0.2529585816864514,0.1849332666347349,0.5969012291480793,0.9236588982018558,0.3010129928588867,0.2220071591275968,2,5,1547,-0.25
0.5842860556391819,0.2904675823423436,0.3567172443085251,0.6668469862915544,0.8404905937074953,792.7828369140625,0.5842860556391819,2,6,1335,-0.25
0.5842860556391819,0.2854077577741538,0.3156013456393575,0.658617859660163,0.867049639414507,792.7828369140625,0.5842860556391819,2,6,1388,-0.5
0.5842860556391819,0.1367253369131028,0.5741935468489591,0.6731242642154808,0.704232059543102,792.7828369140625,0.5842860556391819,2,6,1441,0.0
0.5842860556391819,0.1823322917467572,0.5320325029788766,0.6760547593840801,0.7134593321964172,792.7828369140625,0.5842860556391819,2,6,1494,-0.25
0.5842860556391819,0.2230013349228205,0.4708295949441065,0.6651324932792122,0.7825405595483269,792.7828369140625,0.5842860556391819,2,6,1547,0.25
0.2613628034126247,0.2166730623502194,0.2585842739041338,0.5815393196219923,0.8793329435664051,0.363663911819458,0.2613628034126247,2,7,1335,0.5
0.2613628034126247,0.2363533619868306,0.3029220561811936,0.6236907132795194,0.8653057787202423,0.363663911819458,0.2613628034126247,2,7,1388,0.0
0.2613628034126247,0.1393336027918667,0.4733318288933112,0.6357809064495423,0.7414917974507302,0.363663911819458,0.2613628034126247,2,7,1441,0.0
0.2613628034126247,0.2291774094387167,0.22445930418197,0.5833463130667925,0.9021112359165044,0.363663911819458,0.2613628034126247,2,7,1494,-0.25
0.2613628034126247,0.215539640663175,0.3200403278109873,0.6130669477478196,0.8429656027645809,0.363663911819458,0.2613628034126247,2,7,1547,0.5
0.3762844778211075,0.2564315941885103,0.1111054272051908,0.5799410669372528,0.9550798385136888,0.3915144801139831,0.3762844778211075,2,8,1335,0.0
0.3762844778211075,0.2660961843630678,0.0968213621283531,0.5886593036708863,0.9601974946723868,0.3915144801139831,0.3762844778211075,2,8,1388,0.0
0.3762844778211075,0.2331249473462869,0.0864546404419174,0.5497795931664222,0.9646585237724212,0.3915144801139831,0.3762844778211075,2,8,1441,0.0
0.3762844778211075,0.2367971941826853,0.0960767597602927,0.5589639462485118,0.9582400677510944,0.3915144801139831,0.3762844778211075,2,8,1494,0.0
0.3762844778211075,0.2623320718061052,0.0775931690568075,0.5783502230234423,0.9685679173181908,0.3915144801139831,0.3762844778211075,2,8,1547,0.0
0.2545429275641919,0.2031476114208906,0.2587069491285729,0.5715371633689955,0.8785924687554882,0.3466412127017975,0.2545429275641919,2,9,1335,0.0
0.2545429275641919,0.1771864498369516,0.0557759836021123,0.4589961268479449,0.976469138233932,0.3466412127017975,0.2545429275641919,2,9,1388,0.0
0.2545429275641919,0.192877003846147,0.2500392521204494,0.5556785333917998,0.8807699812100379,0.3466412127017975,0.2545429275641919,2,9,1441,0.0
0.2545429275641919,0.1608317295975921,0.050853985084946,0.4297497513919872,0.9793607522941536,0.3466412127017975,0.2545429275641919,2,9,1494,0.0
0.2545429275641919,0.218230768920469,0.1213219223425601,0.5302603921644552,0.945258157632878,0.3466412127017975,0.2545429275641919,2,9,1547,0.0
0.261406554085937,0.2387453596535154,0.2829925348843394,0.6357652546325935,0.875119742615428,0.4700795412063598,0.261406554085937,2,10,1335,0.25
0.261406554085937,0.2547746386509781,0.2591450738492609,0.6418476553053164,0.8846285195414976,0.4700795412063598,0.261406554085937,2,10,1388,-0.25
0.261406554085937,0.2441638476593674,0.3151892873130187,0.6492031735625733,0.8672988208711248,0.4700795412063598,0.261406554085937,2,10,1441,0.0
0.261406554085937,0.2402407021967521,0.252938448487547,0.6195535511684197,0.8915600656055881,0.4700795412063598,0.261406554085937,2,10,1494,0.0
0.261406554085937,0.2571629109615332,0.3065502258486113,0.6587581966826869,0.8700243682925657,0.4700795412063598,0.261406554085937,2,10,1547,0.0
0.3754544166933917,0.2666092518192514,0.1540964656736946,0.6088285412646391,0.9366311385695424,0.3844194412231445,0.3754544166933917,2,11,1335,-0.25
0.3754544166933917,0.2840488641694432,0.2144043990279036,0.6379461371039477,0.9080431400133032,0.3844194412231445,0.3754544166933917,2,11,1388,0.0
0.3754544166933917,0.2511363518560949,0.1821001475694338,0.6022131636273028,0.9205589329025576,0.3844194412231445,0.3754544166933917,2,11,1441,0.0
0.3754544166933917,0.2612226160788023,0.2225775797875362,0.6209198979849899,0.9044817147687788,0.3844194412231445,0.3754544166933917,2,11,1494,-0.25
0.3754544166933917,0.2737789868210459,0.1344486963295609,0.6073960168346706,0.9421676581814176,0.3844194412231445,0.3754544166933917,2,11,1547,-0.25
0.3014738493280915,0.2271643915133008,0.404825764603929,0.666835211198146,0.8159935479179431,0.4112167358398437,0.3014738493280915,2,12,1335,0.0
0.3014738493280915,0.226574095171951,0.4135219691934788,0.6727119798786644,0.8062035013737686,0.4112167358398437,0.3014738493280915,2,12,1388,0.0
0.3014738493280915,0.260044068596825,0.259059448981838,0.6474676026601042,0.8823139691429384,0.4112167358398437,0.3014738493280915,2,12,1441,0.0
0.3014738493280915,0.1721593479388672,0.5234117030431674,0.6784882749297412,0.7361307915294151,0.4112167358398437,0.3014738493280915,2,12,1494,0.0
0.3014738493280915,0.2530277852672,0.1247195001989899,0.590011038974149,0.9447779967352437,0.4112167358398437,0.3014738493280915,2,12,1547,0.0
0.3252015296891903,0.2201517842808541,0.2751722485546251,0.6014361425416046,0.8711387588923722,0.3737525343894958,0.3252015296891903,2,13,1335,-0.5
