confidence_nn,covariance_shift,dasf_effective_margin,dasf_used_fusion_seed_diagnostic,direction,disagreement,entropy_fuse,entropy_nn,feature_shift,feature_shift_original,feature_shift_robust,inner_participants,inner_selected_epochs,outer_subject_excluded,protocol,seed,selected_epoch,subject,target_batch_recordings,validation_accuracy_fuse_meta_crossfit,validation_accuracy_nn,validation_gain
0.861496697087312,0.5142927643233624,0.12285855286467248,False,stroop,0.2417209463280313,0.6358476654237232,0.31298036204744845,0.2515785886983042,0.4909222424030304,0.2515785886983042,14,4|2|11|32|6|5|1|45|1|3|2|6|1|1,True,loso,1547,3,10,4,0.6964285714285714,0.7142857142857143,-0.017857142857142905
0.8340561152214095,0.2293521060694048,0.06587042121388097,False,stroop,0.21748574615512628,0.6401232719131484,0.3616077703605547,0.33901656865811014,0.3679223358631134,0.33901656865811014,14,2|1|6|10|10|15|15|13|24|3|2|2|1|3,True,loso,1335,4,11,4,0.6964285714285714,0.75,-0.0535714285714286
0.7954983231389806,0.2293521060694048,0.06587042121388097,False,stroop,0.23039049357226743,0.6639750662045789,0.4053738608470779,0.33901656865811014,0.3679223358631134,0.33901656865811014,14,1|1|10|17|4|12|2|20|46|1|1|1|2|3,True,loso,1388,2,11,4,0.75,0.7142857142857143,0.0357142857142857
0.8313754460818711,0.2293521060694048,0.06587042121388097,False,stroop,0.22328183324624962,0.6329281515265412,0.357437404868594,0.33901656865811014,0.3679223358631134,0.33901656865811014,14,6|1|13|8|13|3|2|35|2|1|2|1|1|2,True,loso,1441,2,11,4,0.6607142857142857,0.6964285714285714,-0.0357142857142857
0.8993059490763006,0.2293521060694048,0.06587042121388097,True,stroop,0.27331191172436237,0.6287874493308165,0.23580010241060192,0.33901656865811014,0.3679223358631134,0.33901656865811014,14,1|1|9|36|14|10|12|2|24|9|4|4|2|1,True,loso,1494,6,11,4,0.7321428571428571,0.625,0.1071428571428571
0.768485755792686,0.2293521060694048,0.06587042121388097,False,stroop,0.1753081652433536,0.6549182975492671,0.4546809685274195,0.33901656865811014,0.3679223358631134,0.33901656865811014,14,2|2|3|18|9|2|3|17|38|10|1|1|2|1,True,loso,1547,2,11,4,0.6964285714285714,0.6785714285714286,0.017857142857142794
0.8822455105773901,0.08784970425276165,0.03756994085055233,False,stroop,0.2725035324854401,0.6554278621293237,0.2683303177774743,0.27531165939081526,0.3964802324771881,0.27531165939081526,14,1|2|37|10|16|13|25|27|7|7|2|8|1|2,True,loso,1335,7,12,4,0.7321428571428571,0.7678571428571429,-0.03571428571428581
0.8354925528575291,0.08784970425276165,0.03756994085055233,False,stroop,0.2689326220902156,0.6732630608953661,0.36159136673373754,0.27531165939081526,0.3964802324771881,0.27531165939081526,14,2|2|10|19|4|2|8|20|44|5|1|11|6|1,True,loso,1388,5,12,4,0.75,0.8214285714285714,-0.0714285714285714
0.8337755395550981,0.08784970425276165,0.03756994085055233,False,stroop,0.2597621769399485,0.6719574923974083,0.3691902149711953,0.27531165939081526,0.3964802324771881,0.27531165939081526,14,5|1|21|31|7|8|10|26|14|1|2|3|2|1,True,loso,1441,6,12,4,0.7142857142857143,0.75,-0.0357142857142857
0.890223203941486,0.08784970425276165,0.03756994085055233,False,stroop,0.2516951605018724,0.6331632047835131,0.25473401698051223,0.27531165939081526,0.3964802324771881,0.27531165939081526,14,1|1|12|6|20|13|54|5|3|7|1|14|1|3,True,loso,1494,5,12,4,0.7142857142857143,0.75,-0.0357142857142857
