bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
5,0.80000000000000004,1,True,10,0.9397231798352792,0.59999999999999998,0.33972317983527922,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Feature-MLP (neural reference)
1,0,0.20000000000000001,False,6,0.020451529196848811,0.66666666666666663,0.64621513746981785,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
2,0.20000000000000001,0.40000000000000002,False,6,0.33940357446112718,0.83333333333333337,0.49392975887220619,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
3,0.40000000000000002,0.60000000000000009,False,20,0.49695836078245154,0.59999999999999998,0.10304163921754844,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
4,0.60000000000000009,0.80000000000000004,False,2,0.68826815297359434,1,0.31173184702640566,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
5,0.80000000000000004,1,True,5,0.93612343152251365,0.59999999999999998,0.33612343152251367,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
1,0,0.20000000000000001,False,8,0.036685615117063093,0.75,0.71331438488293686,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
2,0.20000000000000001,0.40000000000000002,False,4,0.32626537774945596,0.5,0.17373462225054404,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
3,0.40000000000000002,0.60000000000000009,False,20,0.4857686550462656,0.65000000000000002,0.16423134495373443,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
4,0.60000000000000009,0.80000000000000004,False,2,0.74605798253750355,1,0.25394201746249645,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
5,0.80000000000000004,1,True,5,0.99534396222963628,0.59999999999999998,0.3953439622296363,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF
1,0,0.20000000000000001,False,6,0.074854105927281547,0.5,0.42514589407271847,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
2,0.20000000000000001,0.40000000000000002,False,11,0.30620769333348924,0.72727272727272729,0.42106503393923805,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
3,0.40000000000000002,0.60000000000000009,False,7,0.44185708107250493,0.5714285714285714,0.12957149035606647,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer
