task,strategy,strategy_display,metric,n_participants,n_valid_participants,n_valid_bootstrap_draws,participant_macro_mean,participant_sd_proportion,ci95_low,ci95_high
stroop,recording_disjoint,Recording-disjoint,brier_score,13,13,10000,0.4226985592070705,0.1950962868084887,0.31588893310126787,0.5208428246111193
stroop,participant_disjoint,Participant-disjoint LOSO,accuracy,13,13,10000,0.59615384615384615,0.19198691194707612,0.5,0.69230769230769229
stroop,participant_disjoint,Participant-disjoint LOSO,balanced_accuracy,13,13,10000,0.59615384615384615,0.19198691194707612,0.5,0.69230769230769229
stroop,participant_disjoint,Participant-disjoint LOSO,sensitivity,13,13,10000,0.57692307692307687,0.49354811679282456,0.30769230769230771,0.84615384615384615
stroop,participant_disjoint,Participant-disjoint LOSO,specificity,13,13,10000,0.61538461538461542,0.41602514716892181,0.38461538461538464,0.80769230769230771
stroop,participant_disjoint,Participant-disjoint LOSO,precision,13,9,10000,0.61111111111111116,0.30046260628866578,0.40909090909090912,0.79166666666666663
stroop,participant_disjoint,Participant-disjoint LOSO,f1,13,13,10000,0.46666666666666673,0.39440531887330776,0.25641025641025639,0.66666666666666674
stroop,participant_disjoint,Participant-disjoint LOSO,auroc,13,13,10000,0.67307692307692313,0.37339399690283842,0.46153846153846156,0.86538461538461542
stroop,participant_disjoint,Participant-disjoint LOSO,pr_auc,13,13,10000,0.73076923076923073,0.29147582278922424,0.57371794871794879,0.875
stroop,participant_disjoint,Participant-disjoint LOSO,average_precision,13,13,10000,0.78846153846153844,0.2297728966731804,0.66666666666666663,0.90384615384615385
stroop,participant_disjoint,Participant-disjoint LOSO,log_loss,13,13,10000,2.0819025053892695,3.5555996346648588,0.79969092611363035,4.1591051765471923
stroop,participant_disjoint,Participant-disjoint LOSO,brier_score,13,13,10000,0.30824979594851915,0.15456682251180109,0.22417720708204639,0.38671009317118371
stroop,random_window_50_50,Random-window 50/50,accuracy,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,balanced_accuracy,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,sensitivity,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,specificity,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,precision,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,f1,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,auroc,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,pr_auc,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,average_precision,13,13,10000,1,0,1,1
stroop,random_window_50_50,Random-window 50/50,log_loss,13,13,10000,0.015842704785758575,0.015748732001041689,0.008313496745645417,0.024605907926276392
stroop,random_window_50_50,Random-window 50/50,brier_score,13,13,10000,0.00082103844471893969,0.001344216696499643,0.00020874645659524195,0.0016009932780996214
