dataset,setting,setting_display,comparison_family,method,method_display,metric,higher_is_better,n_participants,participant_macro_mean,participant_standard_deviation,participant_median,ci95_percentile_low,ci95_percentile_high,ci95_width
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,cbsf,CB-SF,balanced_accuracy,True,13,0.57692307692307687,0.257888367819121,0.5,0.44230769230769229,0.71153846153846156,0.26923076923076927
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,dasf_clean,DASF,balanced_accuracy,True,13,0.65384615384615385,0.217429623155726,0.75,0.53846153846153844,0.76923076923076927,0.23076923076923084
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,eeg_conformer,EEG-Conformer,balanced_accuracy,True,13,0.55769230769230771,0.14978617237881953,0.5,0.48076923076923078,0.63461538461538458,0.1538461538461538
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,eegnet,EEGNet,balanced_accuracy,True,13,0.59615384615384615,0.16261090889699772,0.5,0.51923076923076927,0.69230769230769229,0.17307692307692302
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,equal_blend_050,Equal blend (50%),balanced_accuracy,True,13,0.63461538461538458,0.24185448051171132,0.75,0.5,0.76923076923076927,0.26923076923076927
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,extra_trees,Extra Trees,balanced_accuracy,True,13,0.61538461538461542,0.16505632294338121,0.5,0.53846153846153844,0.71153846153846156,0.17307692307692313
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,fixed_blend_010,Fixed blend (10%),balanced_accuracy,True,13,0.63461538461538458,0.24185448051171132,0.75,0.5,0.75,0.25
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,fixed_blend_025,Fixed blend (25%),balanced_accuracy,True,13,0.63461538461538458,0.24185448051171132,0.75,0.5,0.76923076923076927,0.26923076923076927
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,rf,Random forest,balanced_accuracy,True,13,0.55769230769230771,0.18125276302049606,0.5,0.48076923076923078,0.65384615384615385,0.17307692307692307
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,balanced_accuracy,True,13,0.61538461538461542,0.24185448051171132,0.5,0.48076923076923078,0.73076923076923073,0.24999999999999994
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,riemann_ts_logreg,Riemannian TS-LR,balanced_accuracy,True,13,0.48076923076923078,0.16012815380508713,0.5,0.40384615384615385,0.55769230769230771,0.15384615384615385
openbci,loso_stroop,Stroop LOSO,complete_settings_39_posthoc,stack_recording,OOF recording-level stacking,balanced_accuracy,True,13,0.59615384615384615,0.217429623155726,0.5,0.48076923076923078,0.71153846153846156,0.23076923076923078
