dataset,setting,setting_display,comparison_family,method,method_display,metric,higher_is_better,n_participants,participant_macro_mean,participant_standard_deviation,participant_median,ci95_percentile_low,ci95_percentile_high,ci95_width
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,balanced_accuracy,True,15,0.55000000000000004,0.10350983390135313,0.5,0.5,0.59999999999999998,0.099999999999999978
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,sensitivity,True,15,0.46666666666666667,0.39940431835899015,0.5,0.26666666666666666,0.66666666666666663,0.39999999999999997
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,specificity,True,15,0.6333333333333333,0.39940431835899021,0.5,0.43333333333333335,0.83333333333333337,0.40000000000000002
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,precision,True,10,0.61666666666666659,0.20861092617242874,0.5,0.5,0.75,0.25
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,f1,True,15,0.40888888888888886,0.31103173590606592,0.5,0.2533333333333333,0.55333333333333334,0.30000000000000004
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,auroc,True,15,0.71666666666666667,0.22886885410853172,0.75,0.59999999999999998,0.83333333333333337,0.23333333333333339
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,pr_auc,True,15,0.71666666666666656,0.24810791942729213,0.79166666666666663,0.59444444444444444,0.83333333333333337,0.23888888888888893
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,average_precision,True,15,0.78888888888888908,0.17780257763529925,0.83333333333333326,0.69999999999999996,0.87777777777777788,0.17777777777777792
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,log_loss,False,15,0.74635158545298708,0.21393558511344415,0.6846454281313118,0.64898413729537097,0.85588550299744592,0.20690136570207496
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_mdm,Riemannian MDM,brier_score,False,15,0.26552795718322542,0.075840920039609877,0.24577096008019192,0.229252820901094,0.30354243280058935,0.074289611899495345
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,riemann_ts_logreg,Riemannian TS-LR,accuracy,True,15,0.6166666666666667,0.1599851183555461,0.5,0.55000000000000004,0.69999999999999996,0.14999999999999991
