protocol,direction,subject,kind,replicates,n_training_people,n_original_training_rows,full_weight,weight_min,weight_max,weight_q025,weight_median,weight_q975,fraction_weight_gt_0_4,fraction_same_side_of_0_4_as_full,ood_fallback_fraction,benefit_q025,benefit_q975,catastrophe_q025,catastrophe_q975,single_class_catastrophe_fraction
cross_task,arithmetic_to_stroop,10,row_bootstrap,1000,12,24,0.79999999997252424,2.510798460130258e-07,0.80000000000000004,0.79997840009347454,0.79999999998825788,0.79999999999999705,0.999,0.999,0,0.21712814456332785,0.66666666666666674,0,0.24499355110485665,0.34399999999999997
cross_task,arithmetic_to_stroop,11,leave_one_meta_row_out,24,12,24,0.79999999968287927,0.79999999821473533,0.79999999992883408,0.79999999851164716,0.79999999965246738,0.7999999999084545,1,1,0,0.40270107973806019,0.45855991724050749,0.0035312289376933006,0.014087205589916137,0.04166666666666663
cross_task,arithmetic_to_stroop,11,row_bootstrap,1000,12,24,0.79999999968287927,0.79985431485535663,0.80000000000000004,0.79999977715598836,0.79999999968783375,0.79999999999986127,1,1,0,0.30188226197669427,0.58768291360038227,0,0.071440145492686014,0.34999999999999998
cross_task,arithmetic_to_stroop,12,leave_one_meta_row_out,24,12,24,0.80000000000000004,0.79999999999999738,0.80000000000000004,0.79999999999999871,0.80000000000000004,0.80000000000000004,1,1,0,0.69309908927765673,0.89919821814707757,0.0018264674947603738,0.0064828799332895736,0.04166666666666663
cross_task,arithmetic_to_stroop,12,row_bootstrap,1000,12,24,0.80000000000000004,0,0.80000000000000004,0.79999995323184869,0.79999999999999738,0.80000000000000004,0.999,0.999,0.001,0.33333333333333331,1,0,0.015163403635307859,0.377
cross_task,arithmetic_to_stroop,13,leave_one_meta_row_out,24,12,24,0.7914553484756639,0.66237289349492556,0.79882952873323065,0.68917795824409411,0.79342681725807251,0.79859363636804037,1,1,0,0.044898247518085278,0.13017468523142386,0.052810376693550466,0.15868551735676051,0.04166666666666663
cross_task,arithmetic_to_stroop,13,row_bootstrap,1000,12,24,0.7914553484756639,0,0.79999999999874893,0.017729822766461824,0.79157056930837766,0.79999994712103362,0.86099999999999999,0.86099999999999999,0.001,-0.050956550543516617,0.33464692108200234,0,0.66773830107817933,0.40000000000000002
cross_task,stroop_to_arithmetic,1,leave_one_meta_row_out,24,12,24,0.79999999728593996,0.79999998281314921,0.79999999963969681,0.79999998494010116,0.79999999717377435,0.79999999937992539,1,1,0,0.35618001524186932,0.42134799532334988,0.0026410793654902034,0.0086313901409646628,0.04166666666666663
cross_task,stroop_to_arithmetic,1,row_bootstrap,1000,12,24,0.79999999728593996,0.7457457346198112,0.79999999999999738,0.79996590717459781,0.79999999789881837,0.79999999999929616,1,1,0,0.20144000511915008,0.55544113127058847,0,0.021305615147198333,0.378
cross_task,stroop_to_arithmetic,2,leave_one_meta_row_out,24,12,24,0.79806008914439497,0.78727347749467436,0.79956343973009325,0.7913526920645918,0.79782128190559798,0.79953086425555231,1,1,0,0.093454085496239805,0.15025761366178803,0.011975776222758671,0.033611703831045232,0.04166666666666663
cross_task,stroop_to_arithmetic,2,row_bootstrap,1000,12,24,0.79806008914439497,0.0028193997586002223,0.79999999032449709,0.40000000000000002,0.79802878412200617,0.79999671240354375,0.96899999999999997,0.96899999999999997,0,0,0.24870527781657703,0,0.096871219684802626,0.373
cross_task,stroop_to_arithmetic,3,leave_one_meta_row_out,24,12,24,0.61723883382622946,0.32333228660418456,0.79542506805317859,0.37179684448893258,0.62202199725252838,0.78504836153529955,0.95833333333333337,0.95833333333333337,0,-0.00089532021504015735,0.086502401100343254,0.01124608817760437,0.041120758259121634,0.04166666666666663
cross_task,stroop_to_arithmetic,3,row_bootstrap,1000,12,24,0.61723883382622946,0,0.7999999862563234,0.0024461184871701794,0.74486643446126877,0.79999792721144813,0.71199999999999997,0.71199999999999997,0.001,-0.10391908932874726,0.2580671862259038,0,0.13959865816732703,0.36599999999999999
cross_task,stroop_to_arithmetic,4,leave_one_meta_row_out,24,12,24,0.0057675659963856707,0.00082615767450974179,0.40000000000000002,0.0014968217550735503,0.008315692186554648,0.20497550138363541,0,1,0,-0.11691402915704208,-0.024123656482577943,0.078628271013263071,0.20599237203736906,0.04166666666666663
cross_task,stroop_to_arithmetic,4,row_bootstrap,1000,12,24,0.0057675659963856707,0,0.79999999961499335,3.4142562880161211e-06,0.083847832640752337,0.79865692354843498,0.157,0.84299999999999997,0.0030000000000000001,-0.2175057396036961,0.13026552198640318,0,0.79396632879033335,0.35199999999999998
