dataset,setting,setting_display,comparison_family,subject,method,method_display,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,riemann_ts_logreg,Riemannian TS-LR,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.875,0.94374999999999998,0.94999999999999996,0.72885781516336445,0.22649426891238686
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,3,stack_recording,OOF recording-level stacking,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.625,0.76666666666666661,0.8041666666666667,1.7156430209870914,0.29820110053628712
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,always_fuse,Neural-classical stacking,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.5,0.57916666666666661,0.6791666666666667,1.529049180072775,0.27294054576503757
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,always_nn,Feature-MLP (neural reference),6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.5,0.57916666666666661,0.6791666666666667,2.1258388365012464,0.19742302193789282
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,cbsf,CB-SF,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.5,0.57916666666666661,0.6791666666666667,1.5160873651284652,0.18663109592939456
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,dasf_clean,DASF,6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.5,0.57916666666666661,0.6791666666666667,1.529049180072775,0.27294054576503757
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,eeg_conformer,EEG-Conformer,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.625,0.76666666666666661,0.8041666666666667,1.0484220141619442,0.20865133248159318
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,eegnet,EEGNet,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,1,1,1,0.37039015094421862,0.11434562347343934
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,equal_blend_050,Equal blend (50%),6,2,4,1,1,1,3,0.66666666666666663,0.625,0.75,0.5,0.75,0.75,0.5,0.57916666666666661,0.6791666666666667,1.6041600614091098,0.24932051690944076
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,extra_trees,Extra Trees,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.625,0.76666666666666661,0.8041666666666667,1.7257347332944299,0.24435097029736882
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,fixed_blend_010,Fixed blend (10%),6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.5,0.57916666666666661,0.6791666666666667,1.7768249128000722,0.21548364822959612
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,fixed_blend_025,Fixed blend (25%),6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.5,0.57916666666666661,0.6791666666666667,1.6776951888938532,0.23233500596020798
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,rf,Random forest,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.75,0.87083333333333335,0.88749999999999996,1.9082380223069066,0.19141101990872569
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,riemann_mdm,Riemannian MDM,6,2,4,1,1,0,4,0.83333333333333337,0.75,1,0.5,0.80000000000000004,0.88888888888888884,0.75,0.87083333333333335,0.88749999999999996,1.3010351570846652,0.17790172413682159
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,riemann_ts_logreg,Riemannian TS-LR,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.75,0.87083333333333335,0.88749999999999996,1.7058190849013648,0.38974922983596588
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,4,stack_recording,OOF recording-level stacking,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.5,0.57916666666666661,0.6791666666666667,1.6241813271985965,0.43110161227112159
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,always_fuse,Neural-classical stacking,6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,6.0149492680765846,0.74344790566370944
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,always_nn,Feature-MLP (neural reference),6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,7.407007782541978,0.96610121067864629
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,cbsf,CB-SF,6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,5.7483747871328958,0.75893452107048098
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,dasf_clean,DASF,6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,6.0264139648084907,0.73875005329676835
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,eeg_conformer,EEG-Conformer,6,2,4,2,0,2,2,0.66666666666666663,0.75,0.5,1,1,0.66666666666666663,0.625,0.8354166666666667,0.85416666666666663,1.1286997266062651,0.34853592674600981
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,eegnet,EEGNet,6,2,4,1,1,2,2,0.5,0.5,0.5,0.5,0.66666666666666663,0.5714285714285714,0.5,0.73124999999999996,0.77083333333333326,0.72201738136246874,0.26402970231758521
openbci,cross_task_bidirectional,Bidirectional cross-task,complete_settings_39_posthoc,5,equal_blend_050,Equal blend (50%),6,2,4,0,2,4,0,0,0,0,0,0,0,0,0.44166666666666671,0.52500000000000002,5.8350885731579902,0.79666775901632148
