dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,13,39,13,26,3,10,8,18,0.53846153846153844,0.46153846153846156,0.69230769230769229,0.23076923076923078,0.6428571428571429,0.66666666666666663,0.4763313609467455,0.67505277733287072,0.68642267077085961,1.3943387103168452,0.31849852929486494,0.21076571243894501,0.66627509135014074,0.69577035465282566,-0.0027579937196304076,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,13,39,13,26,5,8,6,20,0.64102564102564108,0.57692307692307698,0.76923076923076927,0.38461538461538464,0.7142857142857143,0.7407407407407407,0.55029585798816572,0.71260849036510931,0.72296592387388836,1.1862466486020784,0.28537301458250691,0.22669970951056745,0.63335365512571906,0.62407273738851121,0.063933633779231863,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,13,39,13,26,1,12,6,20,0.53846153846153844,0.42307692307692313,0.76923076923076927,0.076923076923076927,0.625,0.68965517241379315,0.49112426035502948,0.71878394472106266,0.72688907717490137,1.7987417046263359,0.35165125027597166,0.33073418010048816,0.68013498012209306,0.70067261682424586,-0.0022167589682434018,estimated
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,stack_recording,OOF recording-level stacking,13,39,13,26,6,7,7,19,0.64102564102564108,0.59615384615384615,0.73076923076923073,0.46153846153846156,0.73076923076923073,0.73076923076923073,0.53846153846153855,0.68649177279944251,0.70044920950636735,0.82284844370316512,0.25376850133921031,0.14666651362845318,0.46872764882559437,0.61616919983403451,0.069542948690380219,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Neural-classical stacking,13,39,13,26,8,5,18,8,0.41025641025641024,0.46153846153846156,0.30769230769230771,0.61538461538461542,0.61538461538461542,0.41025641025641024,0.47041420118343191,0.62913935281705913,0.65319573617429683,2.1658385785219694,0.34364334906887956,0.30663571037047765,0.64442822313359427,0.63534773004538803,-0.050315811716795764,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Feature-MLP (neural reference),13,39,13,26,6,7,12,14,0.51282051282051277,0.5,0.53846153846153844,0.46153846153846156,0.66666666666666663,0.5957446808510638,0.46745562130177515,0.67204983796788242,0.68590945170830864,3.3304409956454277,0.38187542474449782,0.32367352277431061,0.74512470426441391,0.69200931344768835,-0.023453246616107121,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF,13,39,13,26,8,5,14,12,0.51282051282051277,0.53846153846153855,0.46153846153846156,0.61538461538461542,0.70588235294117652,0.55813953488372092,0.51479289940828399,0.66525787893392596,0.68857411943633051,2.1054186971439441,0.33773013891452297,0.2873277695914998,0.64621513746981785,0.6375994845631292,-0.050914336683396254,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,dasf_clean,DASF,13,39,13,26,7,6,16,10,0.4358974358974359,0.46153846153846156,0.38461538461538464,0.53846153846153844,0.625,0.47619047619047616,0.46745562130177515,0.66007842095989588,0.67452101770240436,3.2534246826930984,0.35840796517126566,0.31206882854393675,0.71331438488293686,0.68016066050791912,-0.027326740378936374,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eeg_conformer,EEG-Conformer,13,39,13,26,9,4,15,11,0.51282051282051277,0.55769230769230771,0.42307692307692307,0.69230769230769229,0.73333333333333328,0.53658536585365857,0.57692307692307687,0.70444645738372047,0.71834644296997507,1.0188720847633617,0.31470807597190925,0.28073764328405371,0.42514589407271847,0.68726655972261963,0.047675595690195478,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,eegnet,EEGNet,13,39,13,26,4,9,6,20,0.61538461538461542,0.53846153846153855,0.76923076923076927,0.30769230769230771,0.68965517241379315,0.72727272727272729,0.53846153846153844,0.70264045113506057,0.71567447334811551,0.71497790720190213,0.24723564456101441,0.17311820420162757,0.34480742335909426,0.62219900043776877,0.23703857262182559,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,equal_blend_050,Equal blend (50%),13,39,13,26,7,6,13,13,0.51282051282051277,0.51923076923076916,0.5,0.53846153846153844,0.68421052631578949,0.57777777777777772,0.5,0.65193104071686103,0.6756591453297035,2.1523746946120914,0.34981936077266046,0.29486539541507079,0.8081477457911731,0.63023199451566392,-0.058788293393132525,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,extra_trees,Extra Trees,13,39,13,26,6,7,12,14,0.51282051282051277,0.5,0.53846153846153844,0.46153846153846156,0.66666666666666663,0.5957446808510638,0.46153846153846151,0.6424717094333886,0.65728571088168042,1.0945872740609539,0.34749242573947636,0.29376497882279956,0.5755249855545358,0.68071575604118029,-0.10513473776512906,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_010,Fixed blend (10%),13,39,13,26,7,6,12,14,0.53846153846153844,0.53846153846153844,0.53846153846153844,0.53846153846153844,0.69999999999999996,0.60869565217391308,0.46153846153846156,0.62023561468789934,0.64461775760674234,2.3119450635991043,0.35989617642864463,0.27753908877419164,0.70399853280696778,0.64856536765315365,-0.048480637283824388,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,fixed_blend_025,Fixed blend (25%),13,39,13,26,7,6,11,15,0.5641025641025641,0.55769230769230771,0.57692307692307687,0.53846153846153844,0.7142857142857143,0.63829787234042556,0.48224852071005919,0.63792517062074172,0.66199824228262361,2.2156042190432501,0.35396884241984422,0.28530672936836038,0.67479124821938352,0.64024532652890664,-0.052382885113579719,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,rf,Random forest,13,39,13,26,6,7,14,12,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.63157894736842102,0.53333333333333333,0.44674556213017752,0.61335819682490134,0.6343634477753276,1.6163451754672753,0.38603185815148455,0.31097518097336879,0.66875299695773294,0.60161824124714314,-0.13737976149239076,estimated
openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,riemann_mdm,Riemannian MDM,13,39,13,26,3,10,7,19,0.5641025641025641,0.48076923076923073,0.73076923076923073,0.23076923076923078,0.65517241379310343,0.69090909090909092,0.52366863905325445,0.67464520406680029,0.69739169415957891,2.1001457813348283,0.31694717865499733,0.25151402766813202,0.63270721154588072,0.68656343685981358,0.010198084937586442,estimated
