variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,split_seed,fold,train_windows,validation_windows,validation_recordings,recording_accuracy,recording_log_loss
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1335,1,138,215,2,0.0,6.2044965606679785
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1335,2,215,138,2,0.5,3.8399100973537146
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1388,1,82,271,2,0.5,4.943755486311957
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1388,2,271,82,2,0.5,3.9177673167976432
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1441,1,82,271,2,0.5,4.943755486311957
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1441,2,271,82,2,0.5,3.9177673167976432
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1494,1,82,271,2,0.5,4.943755486311957
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1494,2,271,82,2,0.5,3.9177673167976432
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1547,1,138,215,2,0.0,6.2044965606679785
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,7,1547,2,215,138,2,0.5,3.8399100973537146
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1335,1,589,449,2,0.5,0.44238130260981845
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1335,2,449,589,2,0.5,1.8365741849703565
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1388,1,537,501,2,0.0,1.701394076819768
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1388,2,501,537,2,0.5,2.621680807462154
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1441,1,537,501,2,0.0,1.701394076819768
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1441,2,501,537,2,0.5,2.621680807462154
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1494,1,537,501,2,0.0,1.701394076819768
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1494,2,501,537,2,0.5,2.621680807462154
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1547,1,589,449,2,0.5,0.44238130260981845
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,8,1547,2,449,589,2,0.5,1.8365741849703565
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1335,1,547,532,2,1.0,0.087831670145079
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1335,2,532,547,2,0.5,2.8950179762016077
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1388,1,243,836,2,0.5,1.2582020087195152
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1388,2,836,243,2,0.5,3.344772961821368
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1441,1,243,836,2,0.5,1.2582020087195152
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1441,2,836,243,2,0.5,3.344772961821368
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1494,1,243,836,2,0.5,1.2582020087195152
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1494,2,836,243,2,0.5,3.344772961821368
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1547,1,547,532,2,1.0,0.087831670145079
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,9,1547,2,532,547,2,0.5,2.8950179762016077
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1335,1,241,297,2,0.5,5.539637891219812
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1335,2,297,241,2,0.5,1.673084094038698
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1388,1,208,330,2,0.5,0.8094751431335268
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1388,2,330,208,2,0.5,2.1549994398123995
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1441,1,208,330,2,0.5,0.8094751431335268
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1441,2,330,208,2,0.5,2.1549994398123995
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1494,1,208,330,2,0.5,0.8094751431335268
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1494,2,330,208,2,0.5,2.1549994398123995
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1547,1,241,297,2,0.5,5.539637891219812
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,10,1547,2,297,241,2,0.5,1.673084094038698
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1335,1,366,406,2,0.5,6.953191789114466
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1335,2,406,366,2,0.5,2.8283476204284423
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1388,1,317,455,2,0.5,3.346520237533676
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1388,2,455,317,2,0.5,2.8630520966327038
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1441,1,317,455,2,0.5,3.346520237533676
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1441,2,455,317,2,0.5,2.8630520966327038
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1494,1,317,455,2,0.5,3.346520237533676
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1494,2,455,317,2,0.5,2.8630520966327038
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1547,1,366,406,2,0.5,6.953191789114466
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,11,1547,2,406,366,2,0.5,2.8283476204284423
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1335,1,335,320,2,0.0,1.2780485380902658
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1335,2,320,335,2,0.5,3.0315909644623376
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1388,1,251,404,2,0.5,4.2421835013842735
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1388,2,404,251,2,0.5,2.2534920350112997
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1441,1,251,404,2,0.5,4.2421835013842735
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1441,2,404,251,2,0.5,2.2534920350112997
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1494,1,251,404,2,0.5,4.2421835013842735
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1494,2,404,251,2,0.5,2.2534920350112997
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1547,1,335,320,2,0.0,1.2780485380902658
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,12,1547,2,320,335,2,0.5,3.0315909644623376
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1335,1,345,325,2,1.0,0.20856825508962318
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1335,2,325,345,2,0.5,2.439237781448002
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1388,1,287,383,2,0.5,3.8533167240740367
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1388,2,383,287,2,0.5,2.433213146522102
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1441,1,287,383,2,0.5,3.8533167240740367
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1441,2,383,287,2,0.5,2.433213146522102
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1494,1,287,383,2,0.5,3.8533167240740367
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1494,2,383,287,2,0.5,2.433213146522102
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1547,1,345,325,2,1.0,0.20856825508962318
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,13,1547,2,325,345,2,0.5,2.439237781448002
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1335,1,284,310,2,0.0,15.474612183439186
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1335,2,310,284,2,0.5,4.429716735527513
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1388,1,269,325,2,0.5,11.652305669007772
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1388,2,325,269,2,0.5,5.653563570497042
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1441,1,269,325,2,0.5,11.652305669007772
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1441,2,325,269,2,0.5,5.653563570497042
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1494,1,269,325,2,0.5,11.652305669007772
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1494,2,325,269,2,0.5,5.653563570497042
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1547,1,284,310,2,0.0,15.474612183439186
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,14,1547,2,310,284,2,0.5,4.429716735527513
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1335,1,432,295,2,1.0,0.2081954667651921
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1335,2,295,432,2,0.5,3.8713649099513385
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1388,1,314,413,2,1.0,0.004465985770272844
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1388,2,413,314,2,0.5,4.158591737522048
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1441,1,314,413,2,1.0,0.004465985770272844
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1441,2,413,314,2,0.5,4.158591737522048
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1494,1,314,413,2,1.0,0.004465985770272844
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1494,2,413,314,2,0.5,4.158591737522048
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1547,1,432,295,2,1.0,0.2081954667651921
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,arithmetic,Arithmetic,15,1547,2,295,432,2,0.5,3.8713649099513385
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1335,1,357,296,2,0.5,0.38174131505478714
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1335,2,296,357,2,0.5,3.3939436235002214
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1388,1,287,366,2,0.5,1.0142451406974788
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1388,2,366,287,2,0.5,2.3705393573850135
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1441,1,287,366,2,0.5,1.0142451406974788
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1441,2,366,287,2,0.5,2.3705393573850135
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1494,1,287,366,2,0.5,1.0142451406974788
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1494,2,366,287,2,0.5,2.3705393573850135
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1547,1,357,296,2,0.5,0.38174131505478714
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,1,1547,2,296,357,2,0.5,3.3939436235002214
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1335,1,303,556,2,0.5,1.0782382499980219
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1335,2,556,303,2,0.5,2.134700561522729
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1388,1,201,658,2,1.0,0.22500937762861484
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1388,2,658,201,2,0.5,2.283631676954346
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1441,1,201,658,2,1.0,0.22500937762861484
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1441,2,658,201,2,0.5,2.283631676954346
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1494,1,201,658,2,1.0,0.22500937762861484
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1494,2,658,201,2,0.5,2.283631676954346
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1547,1,303,556,2,0.5,1.0782382499980219
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,2,1547,2,556,303,2,0.5,2.134700561522729
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1335,1,287,283,2,0.5,2.6791185643615845
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1335,2,283,287,2,0.5,1.5416454066294327
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1388,1,229,341,2,0.5,2.5683784187495915
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1388,2,341,229,2,1.0,0.18118912713692956
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1441,1,229,341,2,0.5,2.5683784187495915
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1441,2,341,229,2,1.0,0.18118912713692956
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1494,1,229,341,2,0.5,2.5683784187495915
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1494,2,341,229,2,1.0,0.18118912713692956
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1547,1,287,283,2,0.5,2.6791185643615845
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,3,1547,2,283,287,2,0.5,1.5416454066294327
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1335,1,281,178,2,0.5,1.135322247608407
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1335,2,178,281,2,0.5,2.124677601981024
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1388,1,151,308,2,1.0,0.015962609914359386
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1388,2,308,151,2,0.5,1.9232864914732193
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1441,1,151,308,2,1.0,0.015962609914359386
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1441,2,308,151,2,0.5,1.9232864914732193
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1494,1,151,308,2,1.0,0.015962609914359386
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1494,2,308,151,2,0.5,1.9232864914732193
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1547,1,281,178,2,0.5,1.135322247608407
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,4,1547,2,178,281,2,0.5,2.124677601981024
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,5,1335,1,308,352,2,1.0,0.012326353922606415
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,5,1335,2,352,308,2,0.5,2.719068498399607
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,5,1388,1,245,415,2,1.0,0.17517620075279686
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,5,1388,2,415,245,2,0.5,2.649922326284358
reference,Reference preprocessing,recording_disjoint,Within-participant recording-disjoint,stroop,Stroop,5,1441,1,245,415,2,1.0,0.17517620075279686
