variant_id,variant,evaluation,evaluation_display,condition,condition_display,participant,n_evaluations,mean_recording_accuracy,mean_recording_log_loss
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,0.5,0.7777672505387874
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.5,0.5806544221469756
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.75,0.4313375750613802
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.7137347798980991
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.7452995430332843
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.75,0.5462739626448779
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.75,0.7801579195710474
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,1.0,0.47652028934196755
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,14,1,0.75,2.761968373073487
no_window_zscore,No within-window z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,1,0.75,0.6371519862928613
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.75,0.4776909823572299
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,2,1,0.75,0.3652359670383228
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,3,1,0.75,2.4830547296963497
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,4,1,1.0,0.13760574239341491
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,5,1,0.5,0.6720111131219174
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,6,1,0.75,2.237978701145443
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,7,1,0.5,0.7766655804474188
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,8,1,0.75,0.46419089435441363
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,9,1,0.5,0.6451059958262594
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,10,1,0.5,0.6188689184986834
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,11,1,0.75,0.566880865486936
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,12,1,0.75,0.8239939204125034
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,13,1,0.75,0.9975124935380733
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,14,1,0.75,0.4695257137063295
recording_zscore,Recording-level z-score,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,15,1,0.75,1.0291331894336786
reference,Reference preprocessing,cross_task,Cross-task transfer,stroop_to_arithmetic,Stroop to Arithmetic,1,1,0.75,0.4819244317978349
