outer_subject,meta_subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,benefit,feature_shift_original
7,6,0.7832243838739755,0.3082775378237518,0.330967790093438,0.6712513021031313,0.8473964831524988,-0.25,771.6573486328125
7,8,0.31930674136101145,0.300617506557443,0.125946750797498,0.6180178698895682,0.9477196784824852,-0.25,0.3617748022079468
7,9,0.2077132778056573,0.2224107585221542,0.0691743155472037,0.5290533595524912,0.9688907912916336,-0.25,0.2958492338657379
7,10,0.39030158101245027,0.3156565681219817,0.1048912328837248,0.6304684830108982,0.9555357549886077,0.0,0.6716650724411011
7,11,0.30635313280254356,0.2987242532655227,0.240004831296847,0.6515624491729772,0.8978524176137788,0.0,0.3593142926692962
7,12,0.26777698556442875,0.2324672941819686,0.3784685492177095,0.6587172987311422,0.8344966448711928,0.0,0.3752447664737701
7,13,0.30102886567823495,0.2590388854407339,0.1338047010637666,0.5905545338266845,0.9462682784747912,0.0,0.3164680302143097
8,1,0.4165600068439281,0.2691088527769872,0.4440291976122085,0.6801365760427378,0.792103520670127,0.0,0.5295720100402832
8,2,0.29027193433242493,0.2305601818466201,0.2768405733312762,0.6059819012575153,0.8793937907368812,0.0,0.3477867841720581
8,3,0.26157698730603873,0.257647065821177,0.0909379382748786,0.5673709001601429,0.9623688192744004,0.0,0.2904570996761322
8,4,0.558544576856638,0.338430367544197,0.2613470351659063,0.6778987869756443,0.8972377530370143,0.0,0.896277904510498
8,5,0.2339625595765897,0.2127358372014862,0.3026737835649226,0.6149539329416543,0.8679067338957931,0.0,0.3004634976387024
8,6,0.7152083563862477,0.2352506473123432,0.4014930134668464,0.6329148796505798,0.8284829915561429,0.0,810.2508544921875
8,7,0.34993875644154837,0.2991985763815435,0.2244242431672981,0.6415521994899306,0.9130896846600248,0.0,0.4269034564495086
8,9,0.2541077429102372,0.2222004775394127,0.1123798345169821,0.5197825500454518,0.9519265034627532,0.25,0.3179122507572174
8,10,0.3837575614395356,0.2962300876354862,0.2401249107786104,0.6556017260865677,0.9014675824276313,0.25,0.6047726273536682
8,11,0.3610421058431772,0.2024359797945489,0.4644223360534071,0.6626134648279963,0.771137574421508,0.0,0.4000463783740997
8,12,0.3340025652990076,0.2491960480725331,0.3119195820161414,0.6495655406189261,0.8758949861289219,-0.25,0.4252441823482513
8,13,0.3228462454149288,0.2334856711007969,0.3432579272147508,0.6330665150411126,0.8358419126657083,-0.25,0.3553935885429382
9,1,0.3871710900481091,0.2739022967061774,0.4192652596722029,0.6791434500710356,0.8043829695554093,0.0,0.5087307095527649
9,2,0.27977124275014764,0.2674216161097792,0.2196455126451379,0.6175819385432862,0.8994402147144323,0.0,0.374809592962265
9,3,0.24519398789265545,0.1991093676188793,0.0440530909820786,0.4849657714287948,0.982996719657329,0.0,0.2836017608642578
9,4,0.570431616845495,0.3216128089217049,0.254066720987312,0.6664681695565766,0.8837433400237222,0.25,0.909904420375824
9,5,0.23976333457760843,0.1922839907317479,0.1747930270050203,0.5547750698077709,0.9252276628306416,0.0,0.2952877581119537
9,6,0.7285575741357279,0.2416854512066702,0.3943220221846564,0.6493296968692723,0.8122885646969906,0.25,777.95166015625
9,7,0.3520794451190048,0.2451463586961652,0.3313948103923851,0.6419220560354993,0.8407462068494278,0.0,0.4349265396595001
9,8,0.38248113343247214,0.2864639730342755,0.2901323325837578,0.6453842243491344,0.8662744174853726,0.5,0.3860015869140625
9,10,0.3833171407892948,0.2881714444662877,0.2375205227911788,0.6431672127029786,0.8915861394714947,0.25,0.6118978261947632
9,11,0.3629196122497841,0.243153927168951,0.1525208870072027,0.5876558714210783,0.9355539581960156,-0.25,0.3810834884643554
9,12,0.3074121574285935,0.2290730125344182,0.3783417683744659,0.6517465674924042,0.8334018567017912,0.0,0.4038800895214081
9,13,0.3476926934134052,0.2449625262194057,0.2205843299708856,0.6063347904660575,0.9053719394286056,0.0,0.3687205016613006
10,1,0.41919809622940707,0.2764519053724427,0.4133316587761356,0.6793881217043082,0.8145308029049206,-0.25,0.5247147083282471
10,2,0.26424156911463703,0.2606131536871013,0.2334255985883992,0.6166488076619896,0.8972428212759798,0.0,0.3178577721118927
