protocol,subject,direction,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,feature_shift,meta_training_rows,meta_training_subjects
cross_task,13,stroop_to_arithmetic,0.7999992522529293,0.29020824264490724,0.29020824264490724,0.2509422245373837,False,0.7867227406029925,0.29378108740224906,24,24
loso,1,arithmetic,0.544909962024678,0.02109142083305776,0.02109142083305776,0.11822681634725186,False,0.7606145680646725,0.45303567553766544,14,14
loso,2,arithmetic,0.7969552945503189,0.11453473030718071,0.11453473030718071,0.0637368377319665,False,0.5666042820758284,0.3236903042516855,14,14
loso,3,arithmetic,0.7998863436050984,0.1771809021792998,0.1771809021792998,0.0,False,1.2456320419426927,0.2728670410698931,14,14
loso,4,arithmetic,0.7688637005863376,0.06625884084200281,0.06625884084200281,0.04256106119566194,False,2.3125291804518224,0.7142724893103494,14,14
loso,5,arithmetic,0.5868766681940818,0.027630959711991282,0.027630959711991282,0.14744172553655513,False,0.8436164320282552,0.23660999813869033,14,14
loso,6,arithmetic,0.7996604741378951,0.19949691701316183,0.19949691701316183,0.8841813850235902,False,3.6721034293232027,0.5757108275004601,14,14
loso,7,arithmetic,0.07815239154034374,-0.011781701754760026,-0.011781701754760026,0.653627320775294,False,1.49309829192432,0.16814299670860314,14,14
loso,8,arithmetic,0.6849714786500152,0.03568394182071363,0.03568394182071363,0.0,False,0.4420502996840181,0.3880948644534533,14,14
loso,9,arithmetic,0.4,0.0,-0.026150513918774397,0.0,False,1.2632535811898438,0.255878473941356,14,14
loso,10,arithmetic,0.3166759572606168,0.011325450576745819,0.011325450576745819,0.3956323277066793,False,0.4310368451859139,0.281500103428923,14,14
loso,11,arithmetic,0.6196359546161956,0.036521192214662664,0.036521192214662664,0.23676190316659823,False,0.5193710707783448,0.3952889412291113,14,14
loso,12,arithmetic,0.7880566584977036,0.11588347031416038,0.11588347031416038,0.6419109813653759,False,1.7366797677970367,0.34952538402159306,14,14
loso,13,arithmetic,0.552403133419414,0.016049524166599542,0.016049524166599542,0.0,False,0.21646540608930778,0.3554928763562805,14,14
loso,14,arithmetic,0.7999150068600374,0.18299380425337547,0.18299380425337547,0.0,False,2.782201857384981,0.7470668436062069,14,14
loso,15,arithmetic,0.7477060100323534,0.05320256832217679,0.05320256832217679,0.0,False,0.40701026750267466,0.38881155539100054,14,14
loso,1,stroop,0.05876202935473887,-0.024917553534826456,-0.024917553534826456,0.5155792631711991,False,0.8021001399061153,0.40754345707146644,12,12
loso,2,stroop,5.3782787860496455e-05,-0.15558470229078064,-0.15558470229078064,0.7312444694520205,False,1.084029496090145,0.2806717736357307,12,12
loso,3,stroop,0.015155764345100985,-0.05556494291603442,-0.05556494291603442,0.4675428727839217,False,1.4059883414645544,0.22448466821980148,12,12
loso,4,stroop,0.4,0.0,-0.047381225572867045,0.0,False,2.4257278539043523,0.5869516034553641,12,12
loso,5,stroop,0.2279558732419929,0.006340095896385128,0.006340095896385128,0.49482754243769334,False,1.2087701727107678,0.22593668169103737,12,12
loso,6,stroop,0.38499392408611827,0.0,0.04731802443120821,0.030026243324443737,False,2.8684176416622775,0.7576409735633967,12,12
loso,7,stroop,0.0003035786869702241,-0.1211051147103639,-0.1211051147103639,0.7284363534871983,False,0.9312562161430296,0.3802458952409657,12,12
loso,8,stroop,0.0027401254203676217,-0.07932612081977135,-0.07932612081977135,0.682748382966577,False,0.8631065469925117,0.34034107068725694,12,12
loso,9,stroop,0.06868519722871855,-0.02765680338246318,-0.02765680338246318,0.3929880553606346,False,1.6655395629490515,0.23235008150622358,12,12
loso,10,stroop,0.0001973475169861177,-0.13406092494480512,-0.13406092494480512,0.6416431297320961,False,0.8659392218951075,0.38225730302860916,12,12
loso,11,stroop,0.6099195060686218,0.043920041953419114,0.043920041953419114,0.4120490964763567,False,0.9782386096994258,0.3414848974319511,12,12
loso,12,stroop,0.04501696020661302,-0.03831189593922371,-0.03831189593922371,0.36162447037664097,False,0.586412132965285,0.28948937899884075,12,12
loso,13,stroop,0.5669410649249533,0.028044551017908034,0.028044551017908034,0.20530542252769987,False,0.3988823562681251,0.32601048236892405,12,12
