protocol,subject,direction,disagreement,entropy_nn,entropy_fuse,confidence_nn,feature_shift,benefit,feature_shift_original
cross_task,9,arithmetic_to_stroop,0.4123864530438291,0.19364427180509206,0.6900731567340919,0.9209115736887835,0.1150489329065867,0.3333333333333333,
cross_task,9,stroop_to_arithmetic,0.25812568902811445,0.35572992451885727,0.6528286583685555,0.8357146299985784,0.10273250656445934,0.3333333333333333,
cross_task,10,arithmetic_to_stroop,0.23745870163417826,0.5702808987852409,0.6800428857920271,0.6949251065298905,0.3038331754642028,0.3333333333333333,
cross_task,10,stroop_to_arithmetic,0.2380021360443346,0.5274615042167133,0.6661308813311964,0.7381005496224714,0.2407079023380249,0.6666666666666667,
cross_task,11,arithmetic_to_stroop,0.3085812563594802,0.42771894047093734,0.6902944885946481,0.8044714547364489,0.2901983712813253,0.3333333333333333,
cross_task,11,stroop_to_arithmetic,0.1819449418475056,0.04510616361747772,0.4673906852978393,0.9816701438745656,0.2827267255436726,0.0,
cross_task,12,arithmetic_to_stroop,0.49766406403104474,0.22696071079198393,0.6042104863892578,0.9090837430460785,0.06932280582512101,0.3333333333333333,
cross_task,12,stroop_to_arithmetic,0.2575286176293027,0.5193532816402946,0.6911000282560087,0.7394058652985074,0.06783336560903988,0.3333333333333333,
cross_task,13,arithmetic_to_stroop,0.5955464864915688,0.22691550022649537,0.5326959842072836,0.8945636651725195,0.3393151116197184,0.3333333333333333,
cross_task,13,stroop_to_arithmetic,0.36222092397625344,0.41204450838420625,0.6794362161604651,0.8144672909824081,0.29378108740224906,0.3333333333333333,
loso,1,arithmetic,0.2220312300050061,0.37945235758741963,0.6553939753332716,0.8291129489041935,0.45303567553766544,,0.515622615814209
loso,2,arithmetic,0.21787446199697932,0.41825744514182317,0.6680402478656667,0.7950856815154005,0.3236903042516855,,0.3268904685974121
loso,3,arithmetic,0.21664566090153994,0.40344424113597327,0.6613520239712838,0.8008826695600016,0.2728670410698931,,0.2982248663902282
loso,4,arithmetic,0.24118813973626027,0.4121243714824882,0.6754639476320994,0.8013536685411633,0.7142724893103494,,832.45654296875
loso,5,arithmetic,0.24679255014642507,0.27360624206905015,0.6337807799935208,0.872038358063262,0.23660999813869033,,0.3229693174362182
loso,6,arithmetic,0.44108293213481353,0.15567112150997656,0.6749684156175685,0.9459647807423485,0.5757108275004601,,0.6664096713066101
loso,7,arithmetic,0.31123223960826696,0.1290648081152646,0.6202680654495606,0.9511362483506369,0.16814299670860314,,0.3099779188632965
loso,8,arithmetic,0.22895068882760794,0.3524105939871075,0.6476090928981799,0.8553845714255933,0.3880948644534533,,0.4057394862174988
loso,9,arithmetic,0.2293374516382913,0.09495700643002657,0.5303107907701492,0.9647544134854684,0.255878473941356,,0.3216854929924011
loso,10,arithmetic,0.2345649531174679,0.24530344824118402,0.6219630280415144,0.8950669673230021,0.281500103428923,,0.426838755607605
loso,11,arithmetic,0.24269821484525897,0.3189198697990705,0.6437281805208807,0.8564610117697562,0.3952889412291113,,0.3825855255126953
loso,12,arithmetic,0.2756989902121735,0.20408358703915566,0.6360015624609663,0.9250587992310557,0.34952538402159306,,0.4388563334941864
loso,13,arithmetic,0.25265714941312883,0.1614160128790315,0.6016290153499307,0.9336789404338933,0.3554928763562805,,0.4022954106330871
loso,14,arithmetic,0.23306616341597788,0.3391902706580664,0.6367417243872568,0.8600334551480312,0.7470668436062069,,0.7435206174850464
loso,15,arithmetic,0.2518746892625011,0.35142608585409574,0.6527496114327856,0.845236338008826,0.38881155539100054,,0.6310057044029236
loso,1,stroop,0.2787058619870038,0.13580200271575926,0.6168116443600393,0.9404230652951738,0.40754345707146644,,0.5174670219421387
loso,2,stroop,0.23473076067595483,0.10469866369302142,0.5504948906793087,0.9544359701324068,0.2806717736357307,,0.3345226347446441
loso,3,stroop,0.2561150951101136,0.27106875990975293,0.6343817677625831,0.8873923774644533,0.22448466821980148,,0.2680049836635589
loso,4,stroop,0.2832808824577283,0.27119237865645285,0.6623182176613225,0.8739221233769741,0.5869516034553641,,0.9355428814888
loso,5,stroop,0.24230753789088436,0.25271605129481317,0.6261573460533987,0.8961551464296161,0.22593668169103737,,0.2860603332519531
loso,6,stroop,0.270372939484082,0.28832211308644823,0.6558335152691253,0.8826253910619991,0.7576409735633967,,790.7981567382812
loso,7,stroop,0.2935764260562611,0.0834170069394667,0.6009233968002579,0.9647371318834587,0.3802458952409657,,0.4535847008228302
loso,8,stroop,0.24360602479573332,0.39270230551943813,0.6703396966308582,0.8169067818318516,0.34034107068725694,,0.3790634274482727
loso,9,stroop,0.21579205048942193,0.2246839253546607,0.5621509486734204,0.9009513328829529,0.23235008150622358,,0.3058212995529175
loso,10,stroop,0.3063048483538205,0.13283726794625778,0.6191774445228269,0.9441150310449494,0.38225730302860916,,0.6329193115234375
loso,11,stroop,0.20935810252889706,0.4190073850312826,0.6588414884370304,0.7994908548576799,0.3414848974319511,,0.3785012364387512
loso,12,stroop,0.23752642398361445,0.2720044309220971,0.6323247421574918,0.8788725222322091,0.28948937899884075,,0.3989171683788299
loso,13,stroop,0.24395428304468544,0.31167525717411415,0.6401018056236848,0.8542752831237218,0.32601048236892405,,0.3401892483234405
