task,task_display,variant,variant_display,variant_role,held_out_subject,train_participants,validation_participants,train_recordings,validation_recordings,train_windows,validation_windows,participant_overlap,recording_overlap,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,4,14,1,56,4,10096,666,0,0,4,3,1,1,2,1,0,0.25,0.16666666666666666,0,0.33333333333333331,0,0,0.33333333333333337,0.16666666666666666,0.33333333333333331,2.2369302903902928,0.64728048946165506
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,5,14,1,56,4,9935,827,0,0,4,3,1,3,0,0,1,1,1,1,1,1,1,1,1,1,0.35222417862546418,0.088790112529316456
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,6,14,1,56,4,10172,590,0,0,4,3,1,3,0,1,0,0.75,0.5,0,1,,0,0.66666666666666674,0.25,0.5,2.1135020038451127,0.24989346893956604
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,7,14,1,56,4,10409,353,0,0,4,3,1,1,2,0,1,0.5,0.66666666666666663,1,0.33333333333333331,0.33333333333333331,0.5,1,1,1,0.64271890553068334,0.24318619163222444
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,8,14,1,56,4,9724,1038,0,0,4,3,1,0,3,0,1,0.25,0.5,1,0,0.25,0.40000000000000002,1,1,1,1.3773674822236723,0.52248453650243176
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,9,14,1,56,4,9683,1079,0,0,4,3,1,3,0,1,0,0.75,0.5,0,1,,0,0.33333333333333337,0.16666666666666666,0.33333333333333331,0.90204836929077803,0.24023559590544608
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,10,14,1,56,4,10224,538,0,0,4,3,1,1,2,0,1,0.5,0.66666666666666663,1,0.33333333333333331,0.33333333333333331,0.5,0.33333333333333337,0.16666666666666666,0.33333333333333331,0.96575386683965214,0.35469490064842574
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,11,14,1,56,4,9990,772,0,0,4,3,1,0,3,0,1,0.25,0.5,1,0,0.25,0.40000000000000002,0.33333333333333337,0.16666666666666666,0.33333333333333331,1.5257495990681265,0.5052382064115466
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,12,14,1,56,4,10107,655,0,0,4,3,1,2,1,0,1,0.75,0.83333333333333326,1,0.66666666666666663,0.5,0.66666666666666663,0.66666666666666674,0.25,0.5,0.49404921848666089,0.17057539757994791
arithmetic,Arithmetic,threshold_3_high_vs_rest,Natural/low/medium vs high,upper-threshold sensitivity,13,14,1,56,4,10092,670,0,0,4,3,1,3,0,1,0,0.75,0.5,0,1,,0,0.33333333333333337,0.16666666666666666,0.33333333333333331,0.5960861301874677,0.21994437504055825
