task,task_display,variant,variant_display,variant_role,metric,n_participants,participant_macro_mean,participant_standard_deviation,ci95_percentile_low,ci95_percentile_high
stroop,Stroop,extremes_natural_vs_high,Natural vs high only,extreme-level sensitivity with intermediate levels excluded,brier_score,13,0.33941102562742592,0.23634585540498612,0.2153589833260611,0.45593029928116591
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,accuracy,13,0.59615384615384615,0.19198691194707612,0.5,0.69230769230769229
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,balanced_accuracy,13,0.59615384615384615,0.19198691194707612,0.5,0.69230769230769229
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,sensitivity,13,0.57692307692307687,0.49354811679282456,0.30769230769230771,0.84615384615384615
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,specificity,13,0.61538461538461542,0.41602514716892186,0.38461538461538464,0.80769230769230771
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,f1,13,0.46666666666666667,0.39440531887330776,0.25641025641025639,0.66666666666666674
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,auroc,13,0.67307692307692313,0.25788836781912106,0.53846153846153844,0.80769230769230771
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,pr_auc,13,0.72756410256410242,0.23299540547907588,0.60256410256410253,0.84615384615384603
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,average_precision,13,0.78846153846153855,0.17218430793029865,0.69871794871794868,0.87179487179487181
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,log_loss,13,1.2675133929433773,1.2065568745864219,0.73328435872158704,1.9842066656965114
stroop,Stroop,primary_threshold_2,Natural/low vs medium/high,manuscript primary binary mapping,brier_score,13,0.31833341037109292,0.17174740546850917,0.22836441296091786,0.40919608274272018
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,accuracy,13,0.69230769230769229,0.25318484177091666,0.55769230769230771,0.82692307692307687
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,balanced_accuracy,13,0.64102564102564108,0.23418647450974797,0.52564102564102566,0.76923076923076927
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,sensitivity,13,0.7435897435897435,0.38858351868954888,0.53846153846153844,0.92307692307692313
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,specificity,13,0.53846153846153844,0.51887452166277093,0.30769230769230771,0.76923076923076927
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,f1,13,0.71172161172161175,0.34433442422890698,0.52196886446886437,0.87362637362637363
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,auroc,13,0.66666666666666674,0.47140452079103168,0.41025641025641024,0.89743589743589736
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,pr_auc,13,0.84294871794871784,0.22985898618413417,0.72310363247863252,0.95512820512820518
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,average_precision,13,0.88247863247863245,0.17053905930970018,0.79273504273504269,0.96581196581196582
stroop,Stroop,threshold_1_natural_vs_rest,Natural vs low/medium/high,lower-threshold sensitivity,log_loss,13,2.1104251614897689,2.8160049784849215,0.82549507234997466,3.694585396784877
