protocol,subject,direction,seed,validation_accuracy_nn,validation_accuracy_fuse,validation_gain,covariance_shift,effective_margin,used_fusion,selected_input_method,gate_source_recordings,inner_folds,selected_epoch,task
cross_task,3,arithmetic_to_stroop,1388,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.03893260541228213,0.027786521082456425,True,always_fuse,3,2.0,1.0,
cross_task,3,arithmetic_to_stroop,1441,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.03893260541228213,0.027786521082456425,True,always_fuse,3,2.0,1.0,
cross_task,3,arithmetic_to_stroop,1494,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.03893260541228213,0.027786521082456425,True,always_fuse,3,2.0,1.0,
cross_task,3,arithmetic_to_stroop,1547,0.6666666666666666,0.6666666666666666,0.0,0.03893260541228213,0.027786521082456425,False,always_nn,3,2.0,1.0,
cross_task,4,stroop_to_arithmetic,1335,0.6666666666666666,0.6666666666666666,0.0,0.1005351053785813,0.04010702107571626,False,always_nn,3,2.0,16.0,
cross_task,4,stroop_to_arithmetic,1388,0.6666666666666666,0.6666666666666666,0.0,0.1005351053785813,0.04010702107571626,False,always_nn,3,2.0,32.0,
cross_task,4,stroop_to_arithmetic,1441,0.6666666666666666,0.6666666666666666,0.0,0.1005351053785813,0.04010702107571626,False,always_nn,3,2.0,50.0,
cross_task,4,stroop_to_arithmetic,1494,0.6666666666666666,0.6666666666666666,0.0,0.1005351053785813,0.04010702107571626,False,always_nn,3,2.0,38.0,
cross_task,4,stroop_to_arithmetic,1547,0.6666666666666666,0.6666666666666666,0.0,0.1005351053785813,0.04010702107571626,False,always_nn,3,2.0,12.0,
cross_task,4,arithmetic_to_stroop,1335,0.6666666666666666,1.0,0.33333333333333337,0.1005351053785813,0.04010702107571626,True,always_fuse,3,2.0,1.0,
cross_task,4,arithmetic_to_stroop,1388,0.6666666666666666,1.0,0.33333333333333337,0.1005351053785813,0.04010702107571626,True,always_fuse,3,2.0,1.0,
cross_task,4,arithmetic_to_stroop,1441,0.6666666666666666,1.0,0.33333333333333337,0.1005351053785813,0.04010702107571626,True,always_fuse,3,2.0,1.0,
cross_task,4,arithmetic_to_stroop,1494,0.6666666666666666,1.0,0.33333333333333337,0.1005351053785813,0.04010702107571626,True,always_fuse,3,2.0,1.0,
cross_task,4,arithmetic_to_stroop,1547,0.6666666666666666,1.0,0.33333333333333337,0.1005351053785813,0.04010702107571626,True,always_fuse,3,2.0,1.0,
cross_task,5,stroop_to_arithmetic,1335,0.6666666666666666,1.0,0.33333333333333337,0.07323919660929283,0.03464783932185857,True,always_fuse,3,2.0,50.0,
cross_task,5,stroop_to_arithmetic,1388,0.6666666666666666,0.6666666666666666,0.0,0.07323919660929283,0.03464783932185857,False,always_nn,3,2.0,14.0,
cross_task,5,stroop_to_arithmetic,1441,0.6666666666666666,0.6666666666666666,0.0,0.07323919660929283,0.03464783932185857,False,always_nn,3,2.0,10.0,
cross_task,5,stroop_to_arithmetic,1494,0.6666666666666666,0.6666666666666666,0.0,0.07323919660929283,0.03464783932185857,False,always_nn,3,2.0,11.0,
cross_task,5,stroop_to_arithmetic,1547,0.6666666666666666,1.0,0.33333333333333337,0.07323919660929283,0.03464783932185857,True,always_fuse,3,2.0,11.0,
cross_task,5,arithmetic_to_stroop,1335,0.6666666666666666,0.6666666666666666,0.0,0.07323919660929283,0.03464783932185857,False,always_nn,3,2.0,1.0,
cross_task,5,arithmetic_to_stroop,1388,0.6666666666666666,1.0,0.33333333333333337,0.07323919660929283,0.03464783932185857,True,always_fuse,3,2.0,1.0,
cross_task,5,arithmetic_to_stroop,1441,0.6666666666666666,0.6666666666666666,0.0,0.07323919660929283,0.03464783932185857,False,always_nn,3,2.0,1.0,
cross_task,5,arithmetic_to_stroop,1494,0.6666666666666666,0.6666666666666666,0.0,0.07323919660929283,0.03464783932185857,False,always_nn,3,2.0,1.0,
cross_task,5,arithmetic_to_stroop,1547,0.6666666666666666,0.6666666666666666,0.0,0.07323919660929283,0.03464783932185857,False,always_nn,3,2.0,1.0,
