task,strategy,strategy_label,held_out_subject,split_seed,fold,train_windows,validation_windows,train_recordings,validation_recordings,train_participants,validation_participants,overlapping_recordings,recording_overlap_rate,overlapping_participants,participant_overlap_rate,nominal_adjacent_window_raw_overlap,validation_window_accuracy,validation_window_log_loss,validation_recording_accuracy
arithmetic,random_window,Random-window split,4,1441,1,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.00647699994711486,1.0
arithmetic,random_window,Random-window split,4,1441,2,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.004955258022630624,1.0
arithmetic,recording_disjoint,Recording-disjoint split,4,1441,1,329,337,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.658753709198813,1.7485103158402164,0.5
arithmetic,recording_disjoint,Recording-disjoint split,4,1441,2,337,329,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6960486322188449,10.537303500639942,0.5
arithmetic,random_window,Random-window split,4,1494,1,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.0014124526933484355,1.0
arithmetic,random_window,Random-window split,4,1494,2,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.0023117019616081006,1.0
arithmetic,recording_disjoint,Recording-disjoint split,4,1494,1,329,337,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.658753709198813,1.7485103158402164,0.5
arithmetic,recording_disjoint,Recording-disjoint split,4,1494,2,337,329,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6960486322188449,10.537303500639942,0.5
arithmetic,random_window,Random-window split,4,1547,1,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.0014251712267051185,1.0
arithmetic,random_window,Random-window split,4,1547,2,586,80,4,4,1,1,4,1.0,1,1.0,0.9411764705882353,1.0,0.0011832444781212925,1.0
arithmetic,recording_disjoint,Recording-disjoint split,4,1547,1,340,326,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.6441717791411042,1.5913489409283532,0.5
arithmetic,recording_disjoint,Recording-disjoint split,4,1547,2,326,340,2,2,1,1,0,0.0,1,1.0,0.9411764705882353,0.65,10.421597053889275,0.5
