dataset,direction,subject,method,n_recordings,accuracy,direction_label,method_label
openbci,arithmetic_to_stroop,15,equal_blend_050,4,0.5,Arithmetic to Stroop,Equal blend (lambda=0.50)
openbci,arithmetic_to_stroop,1,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,2,extra_trees,4,1.0,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,3,extra_trees,4,1.0,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,4,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,5,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,6,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,7,extra_trees,4,1.0,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,8,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,9,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,10,extra_trees,4,0.5,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,11,extra_trees,4,0.5,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,12,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,13,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,14,extra_trees,4,0.75,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,15,extra_trees,4,0.5,Arithmetic to Stroop,ExtraTrees
openbci,arithmetic_to_stroop,1,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,2,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,3,fixed_blend_010,4,1.0,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,4,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,5,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,6,fixed_blend_010,4,0.5,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,7,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,8,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,9,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,10,fixed_blend_010,4,0.5,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,11,fixed_blend_010,4,0.25,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,12,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,13,fixed_blend_010,4,1.0,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,14,fixed_blend_010,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,15,fixed_blend_010,4,0.5,Arithmetic to Stroop,Fixed blend (lambda=0.10)
openbci,arithmetic_to_stroop,1,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,2,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,3,fixed_blend_025,4,1.0,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,4,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,5,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,6,fixed_blend_025,4,0.5,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,7,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,8,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,9,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,10,fixed_blend_025,4,0.5,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,11,fixed_blend_025,4,0.25,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,12,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,13,fixed_blend_025,4,1.0,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,14,fixed_blend_025,4,0.75,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,15,fixed_blend_025,4,0.5,Arithmetic to Stroop,Fixed blend (lambda=0.25)
openbci,arithmetic_to_stroop,1,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,2,rf,4,1.0,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,3,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,4,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,5,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,6,rf,4,0.5,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,7,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,8,rf,4,1.0,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,9,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,10,rf,4,0.5,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,11,rf,4,0.5,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,12,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,13,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,14,rf,4,0.75,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,15,rf,4,0.5,Arithmetic to Stroop,Random forest
openbci,arithmetic_to_stroop,1,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,2,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,3,riemann_mdm,4,1.0,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,4,riemann_mdm,4,0.5,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,5,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,6,riemann_mdm,4,0.5,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,7,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,8,riemann_mdm,4,0.5,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,9,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,10,riemann_mdm,4,0.5,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,11,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,12,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,13,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,14,riemann_mdm,4,0.75,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,15,riemann_mdm,4,0.5,Arithmetic to Stroop,Riemannian MDM
openbci,arithmetic_to_stroop,1,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
openbci,arithmetic_to_stroop,2,riemann_ts_logreg,4,0.75,Arithmetic to Stroop,Riemannian TS-LR
