Analysis setting,Participant,Method,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score
Bidirectional cross-task,7,Always neural,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,1.185323696086245,0.3119930601033845
Bidirectional cross-task,7,CB-SF,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.7666666666666666,0.8041666666666667,0.8661238677172896,0.2594308050216465
Bidirectional cross-task,7,DASF,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,1.1853236960862463,0.3119930601033846
Bidirectional cross-task,7,EEG-Conformer,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.75,0.8708333333333333,0.8874999999999998,1.686570183241794,0.328542755842293
Bidirectional cross-task,7,EEGNet,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.75,0.8708333333333333,0.8874999999999998,0.804694797245182,0.2599171528847478
Bidirectional cross-task,7,Equal blend (50%),6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.7666666666666666,0.8041666666666667,0.6640692448896284,0.2311310261771787
Bidirectional cross-task,7,Extra Trees,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.875,0.94375,0.95,0.5816039835659779,0.1955145835071756
Bidirectional cross-task,7,Fixed blend (10%),6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,0.8675363299648805,0.2793331086603123
Bidirectional cross-task,7,Fixed blend (25%),6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,0.73875936696333,0.2529897783349178
Bidirectional cross-task,7,Random forest,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.875,0.94375,0.95,0.6178278648469219,0.2133043134000246
Bidirectional cross-task,7,Riemannian MDM,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.75,0.8708333333333333,0.8874999999999998,2.5272970101326027,0.2335334923352413
Bidirectional cross-task,7,Riemannian TS-LR,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.75,0.8708333333333333,0.8874999999999998,2.3807199611469048,0.4180828224351055
Bidirectional cross-task,7,OOF recording-level stacking,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,1.2266556310914385,0.2928260950989375
Bidirectional cross-task,8,Always fused,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.8354166666666667,0.8541666666666666,0.7074832490959349,0.256644735825495
Bidirectional cross-task,8,Always neural,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,1.1440786464224462,0.2980431838211953
Bidirectional cross-task,8,CB-SF,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.375,0.5437499999999998,0.6458333333333331,0.6921402773703323,0.2490909704735394
Bidirectional cross-task,8,DASF,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.5,0.7312499999999998,0.7708333333333331,1.144078646422446,0.2980431838211953
Bidirectional cross-task,8,EEG-Conformer,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.625,0.8354166666666667,0.8541666666666666,0.7150103930940946,0.2606763176057739
Bidirectional cross-task,8,EEGNet,6,2,4,0.1666666666666666,0.125,0.25,0.0,0.3333333333333333,0.2857142857142857,0.25,0.65,0.6916666666666667,0.8880362314611788,0.344338275916123
Bidirectional cross-task,8,Equal blend (50%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.375,0.5437499999999998,0.6458333333333331,0.6789807658289975,0.2422367166733963
Bidirectional cross-task,8,Extra Trees,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.75,0.9083333333333332,0.9166666666666666,0.6009188229126768,0.2062972043894459
Bidirectional cross-task,8,Fixed blend (10%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.375,0.5437499999999998,0.6458333333333331,0.7027139636171925,0.244484717663895
Bidirectional cross-task,8,Fixed blend (25%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.375,0.5437499999999998,0.6458333333333331,0.6805957779304884,0.2407483084237749
Bidirectional cross-task,8,Random forest,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.5,0.7312499999999998,0.7708333333333331,0.6118875868130816,0.2115237631963894
Bidirectional cross-task,8,Riemannian MDM,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.375,0.5437499999999998,0.6458333333333331,0.7425531675404233,0.2741110669622473
Bidirectional cross-task,8,Riemannian TS-LR,6,2,4,0.1666666666666666,0.25,0.0,0.5,0.0,0.0,0.0,0.4416666666666667,0.525,1.2710861996625913,0.4517984702923146
Bidirectional cross-task,8,OOF recording-level stacking,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.375,0.5437499999999998,0.6458333333333331,0.9658950423189498,0.2991990346481947
Bidirectional cross-task,9,Always fused,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.7666666666666666,0.8041666666666667,0.6599846609472607,0.2335789341324122
Bidirectional cross-task,9,Always neural,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,1.1152163585084478,0.3458671653674582
Bidirectional cross-task,9,CB-SF,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.375,0.6916666666666667,0.7333333333333332,0.6677197243543804,0.2375008236585934
Bidirectional cross-task,9,DASF,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.7666666666666666,0.8041666666666667,0.6599846609472607,0.2335789341324122
Bidirectional cross-task,9,EEG-Conformer,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.25,0.65,0.6916666666666667,1.3898370670831826,0.331205966425989
Bidirectional cross-task,9,EEGNet,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.625,0.7666666666666666,0.8041666666666667,0.6876077076578445,0.2368334591970906
Bidirectional cross-task,9,Equal blend (50%),6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.375,0.6916666666666667,0.7333333333333332,0.6871944377599449,0.2468483865075482
Bidirectional cross-task,9,Extra Trees,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.375,0.5437499999999998,0.6458333333333331,0.7341138613397894,0.2583843127539656
Bidirectional cross-task,9,Fixed blend (10%),6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,0.8150107149719462,0.2904827013903791
Bidirectional cross-task,9,Fixed blend (25%),6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.375,0.6916666666666667,0.7333333333333332,0.7379569472658928,0.2673182948884997
Bidirectional cross-task,9,Random forest,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.375,0.5437499999999998,0.6458333333333331,0.7779892503449352,0.2739410559484633
Bidirectional cross-task,9,Riemannian MDM,6,2,4,0.6666666666666666,0.5,1.0,0.0,0.6666666666666666,0.8,0.25,0.65,0.6916666666666667,1.1580660594987338,0.3127412779234257
Bidirectional cross-task,9,Riemannian TS-LR,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.75,0.8708333333333333,0.8874999999999998,1.4886466681557946,0.2680652048428769
Bidirectional cross-task,9,OOF recording-level stacking,6,2,4,0.5,0.375,0.75,0.0,0.5999999999999999,0.6666666666666666,0.5,0.7312499999999998,0.7708333333333331,0.745034513084089,0.2726163410067515
Bidirectional cross-task,10,Always fused,6,2,4,0.3333333333333333,0.375,0.25,0.5,0.5,0.3333333333333333,0.5,0.5791666666666666,0.6791666666666667,0.7306587930681792,0.268827023862571
Bidirectional cross-task,10,Always neural,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.5,0.7312499999999998,0.7708333333333331,0.6809676019394327,0.2467380144169625
Bidirectional cross-task,10,CB-SF,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.5,0.5791666666666666,0.6791666666666667,0.7103919337331833,0.2585626164208125
Bidirectional cross-task,10,DASF,6,2,4,0.3333333333333333,0.375,0.25,0.5,0.5,0.3333333333333333,0.5,0.5791666666666666,0.6791666666666667,0.7306587930681792,0.268827023862571
Bidirectional cross-task,10,EEG-Conformer,6,2,4,0.8333333333333333,0.75,1.0,0.5,0.8,0.8888888888888888,0.875,0.94375,0.95,0.4402736565751521,0.144787252755644
Bidirectional cross-task,10,EEGNet,6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.75,0.8708333333333333,0.8874999999999998,0.6547589766041604,0.2314440000757644
Bidirectional cross-task,10,Equal blend (50%),6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.5,0.7312499999999998,0.7708333333333331,0.689696817306499,0.2482349970146179
Bidirectional cross-task,10,Extra Trees,6,2,4,0.3333333333333333,0.375,0.25,0.5,0.5,0.3333333333333333,0.5,0.7312499999999998,0.7708333333333331,0.7682337673747127,0.2871424594780411
Bidirectional cross-task,10,Fixed blend (10%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.5,0.7312499999999998,0.7708333333333331,0.6781544241853048,0.2442349203147528
Bidirectional cross-task,10,Fixed blend (25%),6,2,4,0.6666666666666666,0.625,0.75,0.5,0.75,0.75,0.5,0.7312499999999998,0.7708333333333331,0.6797464263639881,0.2440134349156058
Bidirectional cross-task,10,Random forest,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.7666666666666666,0.8041666666666667,0.7158766883573398,0.2619966391827297
Bidirectional cross-task,10,Riemannian MDM,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.75,0.8708333333333333,0.8874999999999998,3.790816694004036,0.4220302316390902
Bidirectional cross-task,10,Riemannian TS-LR,6,2,4,0.5,0.5,0.5,0.5,0.6666666666666666,0.5714285714285714,0.625,0.8354166666666667,0.8541666666666666,1.022167835472912,0.3504006587480955
Bidirectional cross-task,10,OOF recording-level stacking,6,2,4,0.6666666666666666,0.75,0.5,1.0,1.0,0.6666666666666666,0.75,0.8708333333333333,0.8874999999999998,0.7000885502029747,0.2536988715866478
Bidirectional cross-task,11,Always fused,6,2,4,0.5,0.625,0.25,1.0,1.0,0.4,0.5,0.7958333333333333,0.8166666666666667,0.9456516095008728,0.3502392027475091
