outer_subject,meta_subject,feature_shift,disagreement,entropy_nn,entropy_fuse,confidence_nn,benefit
4,9,0.2173277046600627,0.1949344835598669,0.2500967853856051,0.5641297364067018,0.8819190835898139,0.0
4,10,0.3009017523774616,0.2544985287356716,0.251400027752177,0.6325501697450631,0.8964186360019858,0.0
4,11,0.3272213478852228,0.2429117495991193,0.2129889572865258,0.6075689699477447,0.9077777276259094,-0.25
4,12,0.2550826972778172,0.2319315192122868,0.4256401249974227,0.6728974346127717,0.811395624667454,-0.25
4,13,0.2930065091277329,0.2318546526533334,0.2455606332427065,0.5959102383383534,0.887890761435344,-0.25
4,14,0.419131054815718,0.1130943368026775,0.1456913315581517,0.4138280169111472,0.9557668191676544,0.0
4,15,0.327471389300822,0.1927198688728137,0.3753876134104953,0.6231641788203947,0.8312910104782775,0.25
5,1,0.4830336826797017,0.2289802807016704,0.4118642422134105,0.6713147952297044,0.8018025976775434,-0.25
5,2,0.2873315382401024,0.2469189995437814,0.2751002880013684,0.6393602300833607,0.877386376591306,0.0
5,3,0.3215335115600881,0.2483509875873503,0.126017316752345,0.5655797765684888,0.948634548145428,-0.25
5,4,0.4597397935369909,0.2785004670198224,0.1666857083321432,0.6318582796081442,0.9340918361491368,0.0
5,6,0.598025029388032,0.2676630080955531,0.2070102683809746,0.6610688707747675,0.9155099596862653,-0.5
5,7,0.2758765237435084,0.2438175246858762,0.2938963795016563,0.6322631257345155,0.8671272243898148,-0.25
5,8,0.3408860809428495,0.2482120264372584,0.1230292829829186,0.5604592321387378,0.947896756771103,0.0
5,9,0.2504036428505758,0.2123912847359492,0.091014651119719,0.5259708642786979,0.961846269487925,0.0
5,10,0.2630747908495343,0.2377490111184995,0.3753639727317652,0.6635636634973642,0.8301066810525891,0.0
5,11,0.3489313436011123,0.2417773868999277,0.1634595670322497,0.5907524624924007,0.929060672897668,0.0
5,12,0.2914435653073242,0.1807387859093536,0.4755673555838964,0.6722374939257854,0.7697889410664909,0.0
5,13,0.3114903390383964,0.2306123244921711,0.3142716423287701,0.6434823730725105,0.8475131458012846,-0.25
5,14,0.3867563228663133,0.1599558957380081,0.1218241802594182,0.4699642008827276,0.9638928153811122,0.0
5,15,0.2933029417485401,0.2127870136498282,0.3690257142947591,0.6501229364264101,0.8414887118052288,0.0
6,1,0.4935978061813917,0.267340909321097,0.3719553813076652,0.6684602983860628,0.8275860507857015,-0.25
6,2,0.24120823456563,0.228411511762359,0.2514967087568959,0.6229064234955551,0.8821843476040122,0.0
6,3,0.2732817556754119,0.1884254633519398,0.0569481437703815,0.4775575629955377,0.9762873716521682,0.0
6,4,0.4799592306726248,0.1959371921046989,0.4507500572241797,0.6597323907694612,0.8226937106232238,0.0
6,5,0.2237851604071345,0.2276849887145824,0.1990271359823511,0.5760114323329711,0.9191637353463606,0.0
6,7,0.3552782000168165,0.1911014023908515,0.347753976208534,0.6115766825366774,0.8423312355982838,0.0
6,8,0.3118391196689587,0.2443221986398729,0.1033040723424451,0.5673375411908915,0.9578665003540048,0.0
6,9,0.2209920653674777,0.2058048026232736,0.0792980746513033,0.5212646929450757,0.9649900287423891,0.0
6,10,0.2663954227854653,0.2254131856432787,0.3484656626359486,0.6571870218487113,0.8283023553795196,0.0
6,11,0.332428168752502,0.2376116443313848,0.1765095247752655,0.6005547784962675,0.92360403477436,0.0
6,12,0.2641686575824403,0.2342474358252366,0.3919925063560511,0.6738758652846727,0.8181408907781634,0.0
6,13,0.2898528284945755,0.2295209729182603,0.0978678543345837,0.549520290366362,0.9590233923252964,-0.25
6,14,0.4654501865843106,0.1295151173211507,0.1872903042352733,0.4236833374405835,0.9387300731632602,0.0
6,15,0.3313056356772189,0.1920869345194589,0.3752014485972344,0.6257798240593415,0.8194420930645757,0.0
7,1,0.4729721913041885,0.2571033581709676,0.3360846836655984,0.6788045370237085,0.85141388143186,0.0
7,2,0.2568675978906489,0.2340642870892182,0.3072033017031816,0.6404929225449965,0.85339765734667,0.0
7,3,0.2839405168178986,0.178545308589051,0.0621744555956558,0.4976738785400788,0.97496284643809,0.0
7,4,0.4830898137401148,0.2811109892849484,0.2474358738148289,0.6529981176106139,0.8975751920722929,-0.25
7,5,0.2289549295895633,0.2312148600459322,0.2025349701157439,0.5934737215016135,0.9206223617900502,0.0
7,6,0.6379224934065609,0.2104786729759649,0.5463496957844974,0.6799845154798084,0.7223005393957255,-0.5
7,8,0.3090595784226809,0.2468936509085608,0.0999696214721005,0.5713172215979175,0.9564015996360268,0.0
7,9,0.2328937008801755,0.2097639257780645,0.1698836498442269,0.5260161027403006,0.921710848125532,0.0
7,10,0.2591106133086153,0.2453463174247853,0.2014008424700765,0.6159143736586945,0.9156036184971892,-0.25
7,11,0.3197390818350731,0.1816251242137503,0.4387276280036753,0.6494084842429358,0.7854266685566732,0.0
7,12,0.2596764269882358,0.218597358940245,0.4696553758665094,0.6792274159683681,0.7773317879314025,0.0
7,13,0.2872500208503525,0.2277803592863913,0.2241926379945097,0.6001884206124315,0.9031745467926612,0.0
