dataset,setting,setting_display,comparison_family,primary_metric,reference_method,reference_display,method,method_display,n_participants,reference_mean,method_mean,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,paired_difference_sd,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,common_language_superiority,ci95_percentile_low,ci95_percentile_high,ci95_percentile_low_pp,ci95_percentile_high_pp,wilcoxon_statistic,wilcoxon_raw_p,wilcoxon_status,wilcoxon_zero_method,wilcoxon_calculation,n_zero_differences,n_nonzero_differences,bh_adjusted_p_reporting_family,bh_adjusted_p_single_family_65_sensitivity,bh_significant_reporting_family_0_05,bh_significant_single_family_65_0_05,superiority_established
openbci,cross_task_stroop_to_arithmetic,Stroop to Arithmetic,direction_specific_26_posthoc,balanced_accuracy,always_nn,Always neural,eeg_conformer,EEG-Conformer,13,0.51923076923076927,0.55769230769230771,0.038461538461538464,3.8461538461538463,0,0.26704700440952817,0.14402535069277925,0.047619047619047616,3,7,3,0.5,-0.096153846153846159,0.19230769230769232,-9.6153846153846168,19.230769230769234,30,0.90766308175582422,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,6,1,1,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,always_fuse,Always fused,15,0.58333333333333337,0.6333333333333333,0.050000000000000003,5,0,0.10350983390135315,0.48304589153964789,1,3,12,0,0.59999999999999998,0,0.10000000000000001,0,10,0,0.083264516663550406,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",12,3,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,rf,Random forest,15,0.58333333333333337,0.51666666666666672,-0.066666666666666666,-6.666666666666667,0,0.24028752618081375,-0.2774453910541354,-0.31521739130434784,3,7,5,0.43333333333333335,-0.18333333333333332,0.050000000000000003,-18.333333333333332,5,31.5,0.37797911429878905,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,8,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,extra_trees,Extra Trees,15,0.58333333333333337,0.51666666666666672,-0.066666666666666666,-6.666666666666667,0,0.22092877542213421,-0.30175637618632961,-0.36363636363636365,3,6,6,0.40000000000000002,-0.16666666666666666,0.033333333333333333,-16.666666666666664,3.3333333333333335,31.5,0.27925094536873785,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",6,9,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_010,Fixed blend (10%),15,0.58333333333333337,0.58333333333333337,0,0,0,0,,0,0,15,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",15,0,1,1,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,fixed_blend_025,Fixed blend (25%),15,0.58333333333333337,0.58333333333333337,0,0,0,0,,0,0,15,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",15,0,1,1,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,equal_blend_050,Equal blend (50%),15,0.58333333333333337,0.59999999999999998,0.016666666666666666,1.6666666666666667,0,0.064549722436790288,0.2581988897471611,1,1,14,0,0.53333333333333333,0,0.050000000000000003,0,5,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",14,1,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,stack_recording,OOF recording-level stacking,15,0.58333333333333337,0.59999999999999998,0.016666666666666666,1.6666666666666667,0,0.064549722436790288,0.2581988897471611,1,1,14,0,0.53333333333333333,0,0.050000000000000003,0,5,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",14,1,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,dasf_clean,DASF,15,0.58333333333333337,0.58333333333333337,0,0,0,0,,0,0,15,0,0.5,0,0,0,0,0,1,all_zero_p_assigned_1,pratt,"two-sided approximate, no continuity correction",15,0,1,1,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,cbsf,CB-SF,15,0.58333333333333337,0.59999999999999998,0.016666666666666666,1.6666666666666667,0,0.064549722436790288,0.2581988897471611,1,1,14,0,0.53333333333333333,0,0.050000000000000003,0,5,0,0.31731050786291415,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",14,1,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,riemann_ts_logreg,Riemannian TS-LR,15,0.58333333333333337,0.5,-0.083333333333333329,-8.3333333333333321,0,0.20412414523193151,-0.40824829046386302,-0.52173913043478259,2,7,6,0.36666666666666664,-0.18333333333333332,0.016666666666666666,-18.333333333333332,1.6666666666666667,22,0.14263920633057223,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,8,0.67005388443876235,0.70196121226917962,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,riemann_mdm,Riemannian MDM,15,0.58333333333333337,0.53333333333333333,-0.050000000000000003,-5,0,0.21547290184283363,-0.23204774044612861,-0.28260869565217389,3,7,5,0.43333333333333335,-0.14999999999999999,0.050000000000000003,-15,5,33,0.42713640946700948,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",7,8,0.69409666538389037,0.73062806882514786,False,False,False
openbci,loso_arithmetic,Arithmetic LOSO,complete_settings_39_posthoc,balanced_accuracy,always_nn,Always neural,eegnet,EEGNet,15,0.58333333333333337,0.6166666666666667,0.033333333333333333,3.3333333333333335,0,0.20845234695819798,0.15990864972135735,0.36904761904761907,5,8,2,0.59999999999999998,-0.066666666666666666,0.13333333333333333,-6.666666666666667,13.333333333333334,26.5,0.33136796938573998,approx_pratt_no_correction,pratt,"two-sided approximate, no continuity correction",8,7,0.67005388443876235,0.70196121226917962,False,False,False
