model,protocol,direction,subject,seed,selected_epoch,inner_folds,inner_epoch_mean,inner_epoch_standard_deviation,inner_epoch_minimum,inner_epoch_maximum,inner_epoch_range,outer_training_recordings,outer_test_recordings,parameter_count
Residual MLP,cross_task,stroop_to_arithmetic,11,1547,6,2,6,7.0710678118654755,1,11,10,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,12,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,12,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,12,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,12,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,12,1547,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,13,1335,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,13,1388,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,13,1441,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,13,1494,1,2,1,0,1,1,0,4,3,
Residual MLP,cross_task,stroop_to_arithmetic,13,1547,7,2,7.5,9.1923881554251174,1,14,13,4,3,
Residual MLP,loso,arithmetic,1,1335,4,14,11.785714285714286,14.191972657530311,1,43,42,56,4,
Residual MLP,loso,arithmetic,1,1388,2,14,8.0714285714285712,9.9804754450822699,1,34,33,56,4,
Residual MLP,loso,arithmetic,1,1441,3,14,6,7.5854110988437231,1,29,28,56,4,
Residual MLP,loso,arithmetic,1,1494,3,14,9,11.955043995028916,1,39,38,56,4,
Residual MLP,loso,arithmetic,1,1547,3,14,7.9285714285714288,10.072539101738148,1,36,35,56,4,
Residual MLP,loso,arithmetic,2,1335,1,14,6.5714285714285712,12.157392722216297,1,46,45,56,4,
Residual MLP,loso,arithmetic,2,1388,2,14,6.5,8.1877018471889613,1,24,23,56,4,
Residual MLP,loso,arithmetic,2,1441,3,14,5.5,6.9476061178819544,1,26,25,56,4,
Residual MLP,loso,arithmetic,2,1494,1,14,4.0714285714285712,5.2837091533867016,1,19,18,56,4,
Residual MLP,loso,arithmetic,2,1547,2,14,7.0714285714285712,9.4418404799250695,1,31,30,56,4,
Residual MLP,loso,arithmetic,3,1335,5,14,9.3571428571428577,10.81030237147127,1,38,37,56,4,
Residual MLP,loso,arithmetic,3,1388,4,14,7.7142857142857144,10.018663901620135,1,38,37,56,4,
Residual MLP,loso,arithmetic,3,1441,4,14,6.7142857142857144,6.0054919919964975,1,18,17,56,4,
Residual MLP,loso,arithmetic,3,1494,5,14,9,9.4217424486785237,1,35,34,56,4,
Residual MLP,loso,arithmetic,3,1547,5,14,6.0714285714285712,5.3272057290028592,1,21,20,56,4,
Residual MLP,loso,arithmetic,4,1335,3,14,8,11.569189852628137,1,43,42,56,4,
Residual MLP,loso,arithmetic,4,1388,3,14,12,16.214902926723827,1,57,56,56,4,
Residual MLP,loso,arithmetic,4,1441,3,14,8.9285714285714288,11.200716225136853,1,34,33,56,4,
Residual MLP,loso,arithmetic,4,1494,4,14,7.2857142857142856,9.024995814433904,1,33,32,56,4,
Residual MLP,loso,arithmetic,4,1547,5,14,10.928571428571429,14.365901324982046,1,51,50,56,4,
Residual MLP,loso,arithmetic,5,1335,2,14,4.2857142857142856,5.2831891800396393,1,18,17,56,4,
Residual MLP,loso,arithmetic,5,1388,3,14,8.5,10.165931036858053,1,35,34,56,4,
Residual MLP,loso,arithmetic,5,1441,4,14,8.2857142857142865,9.2106006772177906,1,28,27,56,4,
Residual MLP,loso,arithmetic,5,1494,2,14,6.1428571428571432,10.075538869781781,1,37,36,56,4,
Residual MLP,loso,arithmetic,5,1547,2,14,9.2142857142857135,12.447913457706454,1,33,32,56,4,
Residual MLP,loso,arithmetic,6,1335,4,14,7.0714285714285712,6.9111313302335864,1,20,19,56,4,
Residual MLP,loso,arithmetic,6,1388,2,14,7.6428571428571432,9.5483155409909699,1,34,33,56,4,
Residual MLP,loso,arithmetic,6,1441,2,14,4.7857142857142856,6.6353200772436383,1,21,20,56,4,
Residual MLP,loso,arithmetic,6,1494,2,14,9.7857142857142865,12.950667172766824,1,40,39,56,4,
Residual MLP,loso,arithmetic,6,1547,4,14,5.9285714285714288,6.2322274782503992,1,20,19,56,4,
Residual MLP,loso,arithmetic,7,1335,4,14,9.6428571428571423,11.764399640487351,1,35,34,56,4,
