model,protocol,direction,subject,seeds,selected_epoch_mean,selected_epoch_standard_deviation,selected_epoch_minimum,selected_epoch_maximum,selected_epoch_range,inner_epoch_range_mean_across_seeds
EEG-Conformer,loso,arithmetic,5,5,6,2.9154759474226504,3,10,7,28.800000000000001
EEG-Conformer,loso,arithmetic,6,5,6.7999999999999998,1.0954451150103321,6,8,2,29.399999999999999
EEG-Conformer,loso,arithmetic,7,5,7,2.4494897427831779,4,10,6,39.200000000000003
EEG-Conformer,loso,arithmetic,8,5,5.2000000000000002,1.0954451150103321,4,6,2,30.399999999999999
EEG-Conformer,loso,arithmetic,9,5,6.4000000000000004,2.5099800796022267,4,10,6,36.600000000000001
EEG-Conformer,loso,arithmetic,10,5,8.5999999999999996,1.8165902124584949,6,11,5,40.600000000000001
EEG-Conformer,loso,arithmetic,11,5,5.7999999999999998,1.4832396974191326,4,8,4,35.399999999999999
EEG-Conformer,loso,arithmetic,12,5,6,2.3452078799117149,4,10,6,34
EEG-Conformer,loso,arithmetic,13,5,7.2000000000000002,1.9235384061671346,5,10,5,43
EEG-Conformer,loso,arithmetic,14,5,7.5999999999999996,2.1908902300206643,4,10,6,44.200000000000003
EEG-Conformer,loso,arithmetic,15,5,8,2.4494897427831779,6,12,6,39
EEG-Conformer,loso,stroop,1,5,3.6000000000000001,0.89442719099991586,2,4,2,22.800000000000001
EEG-Conformer,loso,stroop,2,5,2.3999999999999999,0.89442719099991586,2,4,2,27.199999999999999
EEG-Conformer,loso,stroop,3,5,3,1.4142135623730951,2,5,3,21.399999999999999
EEG-Conformer,loso,stroop,4,5,4.7999999999999998,2.5884358211089569,2,8,6,23.399999999999999
EEG-Conformer,loso,stroop,5,5,4.5999999999999996,1.3416407864998738,3,6,3,26
EEG-Conformer,loso,stroop,6,5,2.3999999999999999,0.89442719099991586,2,4,2,35
EEG-Conformer,loso,stroop,7,5,4,1.8708286933869707,2,7,5,24.399999999999999
EEG-Conformer,loso,stroop,8,5,5.4000000000000004,1.6733200530681511,4,8,4,30.600000000000001
EEG-Conformer,loso,stroop,9,5,3.7999999999999998,2.0493901531919199,2,6,4,34.399999999999999
EEG-Conformer,loso,stroop,10,5,4.5999999999999996,1.9493588689617927,2,7,5,27.800000000000001
EEG-Conformer,loso,stroop,11,5,6.4000000000000004,2.3021728866442674,4,10,6,24.600000000000001
EEG-Conformer,loso,stroop,12,5,4.7999999999999998,3.1144823004794873,2,10,8,25
EEG-Conformer,loso,stroop,13,5,5.2000000000000002,3.4205262752974139,2,11,9,35.799999999999997
EEGNet,cross_task,arithmetic_to_stroop,1,5,9,3,6,12,6,5.7999999999999998
EEGNet,cross_task,arithmetic_to_stroop,2,5,18.199999999999999,18.088670487352022,2,38,36,34
EEGNet,cross_task,arithmetic_to_stroop,3,5,4.5999999999999996,2.1908902300206643,1,6,5,3.7999999999999998
EEGNet,cross_task,arithmetic_to_stroop,4,5,17,10.295630140987001,3,32,29,30.600000000000001
EEGNet,cross_task,arithmetic_to_stroop,5,5,1.3999999999999999,0.54772255750516607,1,2,1,0.59999999999999998
EEGNet,cross_task,arithmetic_to_stroop,6,5,1,0,1,1,0,0
EEGNet,cross_task,arithmetic_to_stroop,7,5,17,14.66287829861518,2,40,38,29.399999999999999
EEGNet,cross_task,arithmetic_to_stroop,8,5,11.4,7.7974354758471707,3,24,21,16.800000000000001
EEGNet,cross_task,arithmetic_to_stroop,9,5,4.4000000000000004,6.5421708935184508,1,16,15,6.5999999999999996
EEGNet,cross_task,arithmetic_to_stroop,10,5,4.4000000000000004,2.4083189157584592,2,7,5,6.4000000000000004
EEGNet,cross_task,arithmetic_to_stroop,11,5,33.399999999999999,4.9799598391954927,28,38,10,41.799999999999997
EEGNet,cross_task,arithmetic_to_stroop,12,5,6,5.7879184513951127,1,14,13,5
EEGNet,cross_task,arithmetic_to_stroop,13,5,26.600000000000001,16.546903033498445,2,42,40,50
EEGNet,cross_task,stroop_to_arithmetic,1,5,28,14.352700094407323,16,50,34,26.199999999999999
EEGNet,cross_task,stroop_to_arithmetic,2,5,12,10.559356040971437,5,30,25,19.399999999999999
EEGNet,cross_task,stroop_to_arithmetic,3,5,16.399999999999999,10.526157893552615,6,28,22,23.199999999999999
EEGNet,cross_task,stroop_to_arithmetic,4,5,25,12.489995996796797,6,40,34,46.399999999999999
EEGNet,cross_task,stroop_to_arithmetic,5,5,11.800000000000001,13.255187663703596,1,31,30,21.199999999999999
EEGNet,cross_task,stroop_to_arithmetic,6,5,1.2,0.44721359549995793,1,2,1,0.20000000000000001
EEGNet,cross_task,stroop_to_arithmetic,7,5,3.2000000000000002,2.5884358211089569,1,6,5,4
EEGNet,cross_task,stroop_to_arithmetic,8,5,14.199999999999999,10.61602562167217,7,33,26,16.600000000000001
EEGNet,cross_task,stroop_to_arithmetic,9,5,8,11.554220008291344,1,28,27,13.199999999999999
EEGNet,cross_task,stroop_to_arithmetic,10,5,17.600000000000001,18.311198759229281,2,40,38,31.199999999999999
EEGNet,cross_task,stroop_to_arithmetic,11,5,18.199999999999999,16.649324310613927,4,40,36,25.800000000000001
EEGNet,cross_task,stroop_to_arithmetic,12,5,6.4000000000000004,7.987490219086343,1,20,19,8
EEGNet,cross_task,stroop_to_arithmetic,13,5,5,4.1833001326703778,1,11,10,7
EEGNet,loso,arithmetic,1,5,2.6000000000000001,0.89442719099991586,2,4,2,37.799999999999997
EEGNet,loso,arithmetic,2,5,3.6000000000000001,1.1401754250991381,2,5,3,35.600000000000001
EEGNet,loso,arithmetic,3,5,4,1.2247448713915889,3,6,3,34.200000000000003
EEGNet,loso,arithmetic,4,5,3.2000000000000002,1.7888543819998317,2,6,4,38.200000000000003
EEGNet,loso,arithmetic,5,5,2.3999999999999999,0.89442719099991608,2,4,2,30.199999999999999
EEGNet,loso,arithmetic,6,5,4,2.3452078799117149,2,8,6,54.399999999999999
EEGNet,loso,arithmetic,7,5,4.2000000000000002,2.0493901531919199,2,6,4,38.399999999999999
EEGNet,loso,arithmetic,8,5,2.3999999999999999,0.54772255750516607,2,3,1,39.600000000000001
EEGNet,loso,arithmetic,9,5,7,3.3166247903553998,3,12,9,37.600000000000001
EEGNet,loso,arithmetic,10,5,3.7999999999999998,1.3038404810405297,2,5,3,28.800000000000001
EEGNet,loso,arithmetic,11,5,4,3.4641016151377544,2,10,8,32.600000000000001
EEGNet,loso,arithmetic,12,5,3.3999999999999999,1.6733200530681511,2,6,4,46.799999999999997
EEGNet,loso,arithmetic,13,5,3.3999999999999999,2.0736441353327724,1,6,5,24
EEGNet,loso,arithmetic,14,5,6.4000000000000004,4.5607017003965513,2,14,12,41.600000000000001
EEGNet,loso,arithmetic,15,5,4.2000000000000002,2.5884358211089569,1,7,6,35.200000000000003
EEGNet,loso,stroop,1,5,4.7999999999999998,1.3038404810405297,4,7,3,34.200000000000003
EEGNet,loso,stroop,2,5,7.2000000000000002,2.5884358211089569,4,11,7,45.600000000000001
EEGNet,loso,stroop,3,5,6,5.1478150704935004,1,14,13,32.600000000000001
EEGNet,loso,stroop,4,5,4.4000000000000004,0.89442719099991586,3,5,2,37
EEGNet,loso,stroop,5,5,8.5999999999999996,1.6733200530681511,6,10,4,41
EEGNet,loso,stroop,6,5,3,2,1,6,5,35.200000000000003
EEGNet,loso,stroop,7,5,3.6000000000000001,1.6733200530681511,2,6,4,38.399999999999999
EEGNet,loso,stroop,8,5,4.5999999999999996,3.5777087639996634,1,10,9,32.799999999999997
EEGNet,loso,stroop,9,5,4.7999999999999998,2.16794833886788,3,8,5,38
EEGNet,loso,stroop,10,5,6.4000000000000004,3.9115214431215892,3,12,9,35
EEGNet,loso,stroop,11,5,4.7999999999999998,2.7748873851023217,2,9,7,33.799999999999997
