setting,setting_display,method,method_display,seed,n_participants,n_recordings,participant_macro_accuracy,participant_macro_balanced_accuracy,pooled_recording_accuracy,pooled_recording_balanced_accuracy,diagnostic_only_not_statistical_replicate
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,1388,13,39,0.53846153846153844,0.48076923076923078,0.53846153846153844,0.48076923076923078,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,1441,13,39,0.58974358974358976,0.51923076923076927,0.58974358974358976,0.51923076923076916,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,1494,13,39,0.61538461538461542,0.51923076923076927,0.61538461538461542,0.51923076923076927,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eeg_conformer,EEG-Conformer,1547,13,39,0.64102564102564108,0.53846153846153844,0.64102564102564108,0.53846153846153844,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,1335,13,39,0.5641025641025641,0.44230769230769229,0.5641025641025641,0.44230769230769229,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,1388,13,39,0.58974358974358987,0.46153846153846156,0.58974358974358976,0.46153846153846156,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,1441,13,39,0.58974358974358976,0.5,0.58974358974358976,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,1494,13,39,0.53846153846153844,0.42307692307692307,0.53846153846153844,0.42307692307692313,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,eegnet,EEGNet,1547,13,39,0.64102564102564108,0.51923076923076927,0.64102564102564108,0.51923076923076916,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,1335,13,39,0.66666666666666663,0.57692307692307687,0.66666666666666663,0.57692307692307687,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,1388,13,39,0.64102564102564108,0.55769230769230771,0.64102564102564108,0.55769230769230771,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,1441,13,39,0.64102564102564108,0.55769230769230771,0.64102564102564108,0.55769230769230771,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,1494,13,39,0.64102564102564108,0.55769230769230771,0.64102564102564108,0.55769230769230771,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,extra_trees,Extra Trees,1547,13,39,0.66666666666666663,0.57692307692307687,0.66666666666666663,0.57692307692307687,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,1335,13,39,0.66666666666666674,0.61538461538461542,0.66666666666666663,0.61538461538461542,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,1388,13,39,0.66666666666666674,0.61538461538461542,0.66666666666666663,0.61538461538461542,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,1441,13,39,0.66666666666666674,0.61538461538461542,0.66666666666666663,0.61538461538461542,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,1494,13,39,0.66666666666666674,0.61538461538461542,0.66666666666666663,0.61538461538461542,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,rf,Random forest,1547,13,39,0.66666666666666674,0.61538461538461542,0.66666666666666663,0.61538461538461542,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,1335,13,39,0.64102564102564108,0.5,0.64102564102564108,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,1388,13,39,0.64102564102564108,0.5,0.64102564102564108,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,1441,13,39,0.64102564102564108,0.5,0.64102564102564108,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,1494,13,39,0.64102564102564108,0.5,0.64102564102564108,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_mdm,Riemannian MDM,1547,13,39,0.64102564102564108,0.5,0.64102564102564108,0.5,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,1335,13,39,0.58974358974358987,0.46153846153846156,0.58974358974358976,0.46153846153846156,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,1388,13,39,0.58974358974358987,0.46153846153846156,0.58974358974358976,0.46153846153846156,True
cross_task_arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR,1441,13,39,0.58974358974358987,0.46153846153846156,0.58974358974358976,0.46153846153846156,True
