protocol,subject,direction,final_used_fusion,final_selected_input_method,seed_fusion_decisions,seed_neural_decisions,seed_fusion_fraction,unanimous_across_five_seeds,seed_agreement_with_final_fraction,validation_gain_seed_mean,validation_gain_seed_standard_deviation,validation_gain_seed_minimum,validation_gain_seed_maximum,validation_gain_seed_range,effective_margin
cross_task,8,arithmetic_to_stroop,False,always_nn,0,5,0,True,1,-0.20000000000000001,0.18257418583505536,-0.33333333333333331,0,0.33333333333333331,0.0273837612333079
cross_task,8,stroop_to_arithmetic,False,always_nn,2,3,0.40000000000000002,False,0.59999999999999998,0.066666666666666666,0.27888667551135854,-0.33333333333333331,0.33333333333333331,0.66666666666666663,0.0273837612333079
cross_task,9,arithmetic_to_stroop,True,always_fuse,3,2,0.59999999999999998,False,0.59999999999999998,0.26666666666666672,0.43461349368017665,-0.33333333333333331,0.66666666666666674,1,0.049754919712192099
cross_task,9,stroop_to_arithmetic,True,always_fuse,3,2,0.59999999999999998,False,0.59999999999999998,0.20000000000000001,0.38005847503304602,-0.33333333333333331,0.66666666666666674,1,0.049754919712192099
cross_task,10,arithmetic_to_stroop,True,always_fuse,4,1,0.80000000000000004,False,0.80000000000000004,0.20000000000000001,0.29814239699997197,-0.33333333333333331,0.33333333333333331,0.66666666666666663,0.034126644701136098
cross_task,10,stroop_to_arithmetic,True,always_fuse,5,0,1,True,1,0.59999999999999998,0.14907119849998604,0.33333333333333331,0.66666666666666674,0.33333333333333343,0.034126644701136098
cross_task,11,arithmetic_to_stroop,False,always_nn,3,2,0.59999999999999998,False,0.40000000000000002,0.20000000000000001,0.18257418583505536,0,0.33333333333333331,0.33333333333333331,0.0285762328395812
cross_task,11,stroop_to_arithmetic,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,0.066666666666666666,0.14907119849998599,0,0.33333333333333331,0.33333333333333331,0.0285762328395812
cross_task,12,arithmetic_to_stroop,True,always_fuse,5,0,1,True,1,0.46666666666666667,0.18257418583505541,0.33333333333333331,0.66666666666666674,0.33333333333333343,0.026958359982729801
cross_task,12,stroop_to_arithmetic,True,always_fuse,4,1,0.80000000000000004,False,0.80000000000000004,0.26666666666666666,0.14907119849998599,0,0.33333333333333331,0.33333333333333331,0.026958359982729801
cross_task,13,arithmetic_to_stroop,True,always_fuse,3,2,0.59999999999999998,False,0.59999999999999998,0.13333333333333333,0.29814239699997191,-0.33333333333333331,0.33333333333333331,0.66666666666666663,0.059053518826493998
cross_task,13,stroop_to_arithmetic,True,always_fuse,5,0,1,True,1,0.46666666666666667,0.18257418583505541,0.33333333333333331,0.66666666666666674,0.33333333333333343,0.059053518826493998
loso,1,arithmetic,False,always_nn,0,5,0,True,1,-0.01071428571428574,0.044821072850039806,-0.071428571428571494,0.053571428571428603,0.12500000000000011,0.067637536653182895
loso,1,stroop,False,always_nn,0,5,0,True,1,-0.020833333333333301,0.025515518153991397,-0.041666666666666602,0.020833333333333301,0.062499999999999903,0.058116265902084498
loso,2,arithmetic,False,always_nn,2,3,0.40000000000000002,False,0.59999999999999998,0.060714285714285721,0.041110230118647624,0.017857142857142901,0.125,0.1071428571428571,0.056278330407826399
loso,2,stroop,False,always_nn,0,5,0,True,1,-0.016666666666666642,0.027163343355011031,-0.0625,0,0.0625,0.058915007758391001
loso,3,arithmetic,False,always_nn,2,3,0.40000000000000002,False,0.59999999999999998,0.049999999999999899,0.031943828249997065,0.0178571428571427,0.089285714285714302,0.071428571428571605,0.0586884764524533
loso,3,stroop,False,always_nn,1,4,0.20000000000000001,False,0.80000000000000004,-0.01249999999999998,0.047961935138422236,-0.0625,0.0625,0.125,0.053212949606456603
loso,4,arithmetic,False,always_nn,0,5,0,True,1,-0.028571428571428602,0.044821072850039757,-0.071428571428571494,0.035714285714285698,0.10714285714285719,0.14999999999999999
loso,4,stroop,False,always_nn,0,5,0,True,1,0.0083333333333333003,0.023753654689565324,-0.020833333333333301,0.041666666666666602,0.062499999999999903,0.14999999999999999
