protocol,subject,direction,seed,validation_accuracy_nn,validation_accuracy_fuse,validation_gain,covariance_shift,effective_margin,used_fusion_seed,selected_input_method_seed,gate_source_recordings,inner_folds,selected_epoch,task,used_fusion_final,selected_input_method_final,seed_decision_agrees_with_final,diagnostic_only_not_statistical_replicate
cross_task,12,stroop_to_arithmetic,1335,0.66666666666666663,1,0.33333333333333331,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,12,stroop_to_arithmetic,1388,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,12,stroop_to_arithmetic,1441,0.33333333333333331,0.33333333333333331,0,0.034791799913649397,0.026958359982729801,False,always_nn,3,2,1,,True,always_fuse,False,True
cross_task,12,stroop_to_arithmetic,1494,0.66666666666666663,1,0.33333333333333331,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,12,stroop_to_arithmetic,1547,0.66666666666666663,1,0.33333333333333331,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,12,arithmetic_to_stroop,1335,0.66666666666666663,1,0.33333333333333331,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,2,,True,always_fuse,True,True
cross_task,12,arithmetic_to_stroop,1388,0.33333333333333331,1,0.66666666666666674,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,5,,True,always_fuse,True,True
cross_task,12,arithmetic_to_stroop,1441,0.33333333333333331,1,0.66666666666666674,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,12,arithmetic_to_stroop,1494,0.66666666666666663,1,0.33333333333333331,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,12,arithmetic_to_stroop,1547,0.66666666666666663,1,0.33333333333333331,0.034791799913649397,0.026958359982729801,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,stroop_to_arithmetic,1335,0.33333333333333331,1,0.66666666666666674,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,stroop_to_arithmetic,1388,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,stroop_to_arithmetic,1441,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,stroop_to_arithmetic,1494,0.33333333333333331,1,0.66666666666666674,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,stroop_to_arithmetic,1547,0.33333333333333331,0.66666666666666663,0.33333333333333331,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,7,,True,always_fuse,True,True
cross_task,13,arithmetic_to_stroop,1335,0.66666666666666663,0.33333333333333331,-0.33333333333333331,0.19526759413246991,0.059053518826493998,False,always_nn,3,2,1,,True,always_fuse,False,True
cross_task,13,arithmetic_to_stroop,1388,0.66666666666666663,1,0.33333333333333331,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,arithmetic_to_stroop,1441,0.66666666666666663,1,0.33333333333333331,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,arithmetic_to_stroop,1494,0.66666666666666663,1,0.33333333333333331,0.19526759413246991,0.059053518826493998,True,always_fuse,3,2,1,,True,always_fuse,True,True
cross_task,13,arithmetic_to_stroop,1547,0.66666666666666663,0.66666666666666663,0,0.19526759413246991,0.059053518826493998,False,always_nn,3,2,9,,True,always_fuse,False,True
loso,1,arithmetic,1335,0.6964285714285714,0.75,0.053571428571428603,0.2381876832659145,0.067637536653182895,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,1,arithmetic,1388,0.7142857142857143,0.6964285714285714,-0.017857142857142901,0.2381876832659145,0.067637536653182895,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,1,arithmetic,1441,0.6964285714285714,0.6964285714285714,0,0.2381876832659145,0.067637536653182895,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,1,arithmetic,1494,0.75,0.7321428571428571,-0.017857142857142901,0.2381876832659145,0.067637536653182895,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,1,arithmetic,1547,0.7678571428571429,0.6964285714285714,-0.071428571428571494,0.2381876832659145,0.067637536653182895,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,2,arithmetic,1335,0.6428571428571429,0.6785714285714286,0.035714285714285698,0.18139165203913199,0.056278330407826399,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,2,arithmetic,1388,0.6607142857142857,0.7142857142857143,0.053571428571428603,0.18139165203913199,0.056278330407826399,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,2,arithmetic,1441,0.625,0.75,0.125,0.18139165203913199,0.056278330407826399,True,always_fuse,56,,,arithmetic,False,always_nn,False,True
loso,2,arithmetic,1494,0.6607142857142857,0.6785714285714286,0.017857142857142901,0.18139165203913199,0.056278330407826399,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,2,arithmetic,1547,0.6607142857142857,0.7321428571428571,0.071428571428571397,0.18139165203913199,0.056278330407826399,True,always_fuse,56,,,arithmetic,False,always_nn,False,True
loso,3,arithmetic,1335,0.7142857142857143,0.7321428571428571,0.0178571428571427,0.19344238226226659,0.0586884764524533,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,3,arithmetic,1388,0.7142857142857143,0.7321428571428571,0.0178571428571427,0.19344238226226659,0.0586884764524533,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,3,arithmetic,1441,0.6607142857142857,0.7321428571428571,0.071428571428571397,0.19344238226226659,0.0586884764524533,True,always_fuse,56,,,arithmetic,False,always_nn,False,True
loso,3,arithmetic,1494,0.6785714285714286,0.7678571428571429,0.089285714285714302,0.19344238226226659,0.0586884764524533,True,always_fuse,56,,,arithmetic,False,always_nn,False,True
loso,3,arithmetic,1547,0.6785714285714286,0.7321428571428571,0.053571428571428402,0.19344238226226659,0.0586884764524533,False,always_nn,56,,,arithmetic,False,always_nn,True,True
loso,4,arithmetic,1335,0.7142857142857143,0.6964285714285714,-0.017857142857142901,1.1292780504593152,0.14999999999999999,False,always_nn,56,,,arithmetic,False,always_nn,True,True
