setting,setting_display,method,method_display,metric,seeds,seed_mean,seed_standard_deviation,seed_minimum,seed_maximum,seed_range,interpretation
loso_arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,participant_macro_accuracy,5,0.53333333333333333,0,0.53333333333333333,0.53333333333333333,0,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,riemann_mdm,Riemannian MDM,participant_macro_balanced_accuracy,5,0.53333333333333333,0,0.53333333333333333,0.53333333333333333,0,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR,participant_macro_accuracy,5,0.5,0,0.5,0.5,0,model-randomness diagnostic only; seeds are ensemble members
loso_arithmetic,Arithmetic LOSO,riemann_ts_logreg,Riemannian TS-LR,participant_macro_balanced_accuracy,5,0.5,0,0.5,0.5,0,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,always_fuse,Always fused,participant_macro_accuracy,5,0.58461538461538454,0.029164905554044412,0.55769230769230771,0.63461538461538458,0.076923076923076872,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,always_fuse,Always fused,participant_macro_balanced_accuracy,5,0.58461538461538454,0.029164905554044412,0.55769230769230771,0.63461538461538458,0.076923076923076872,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,always_nn,Always neural,participant_macro_accuracy,5,0.58461538461538465,0.034934427162663387,0.53846153846153844,0.61538461538461542,0.076923076923076983,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,always_nn,Always neural,participant_macro_balanced_accuracy,5,0.58461538461538465,0.034934427162663387,0.53846153846153844,0.61538461538461542,0.076923076923076983,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,eeg_conformer,EEG-Conformer,participant_macro_accuracy,5,0.62307692307692308,0.05014771080925113,0.55769230769230771,0.69230769230769229,0.13461538461538458,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,eeg_conformer,EEG-Conformer,participant_macro_balanced_accuracy,5,0.62307692307692308,0.05014771080925113,0.55769230769230771,0.69230769230769229,0.13461538461538458,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,eegnet,EEGNet,participant_macro_accuracy,5,0.61538461538461542,0.019230769230769218,0.59615384615384615,0.63461538461538458,0.038461538461538436,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,eegnet,EEGNet,participant_macro_balanced_accuracy,5,0.61538461538461542,0.019230769230769218,0.59615384615384615,0.63461538461538458,0.038461538461538436,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,extra_trees,Extra Trees,participant_macro_accuracy,5,0.55769230769230771,0.013598207330510521,0.53846153846153844,0.57692307692307687,0.038461538461538436,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,extra_trees,Extra Trees,participant_macro_balanced_accuracy,5,0.55769230769230771,0.013598207330510521,0.53846153846153844,0.57692307692307687,0.038461538461538436,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,rf,Random forest,participant_macro_accuracy,5,0.57692307692307687,0,0.57692307692307687,0.57692307692307687,0,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,rf,Random forest,participant_macro_balanced_accuracy,5,0.57692307692307687,0,0.57692307692307687,0.57692307692307687,0,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,riemann_mdm,Riemannian MDM,participant_macro_accuracy,5,0.53846153846153844,0,0.53846153846153844,0.53846153846153844,0,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,riemann_mdm,Riemannian MDM,participant_macro_balanced_accuracy,5,0.53846153846153844,0,0.53846153846153844,0.53846153846153844,0,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,riemann_ts_logreg,Riemannian TS-LR,participant_macro_accuracy,5,0.57692307692307687,0,0.57692307692307687,0.57692307692307687,0,model-randomness diagnostic only; seeds are ensemble members
loso_stroop,Stroop LOSO,riemann_ts_logreg,Riemannian TS-LR,participant_macro_balanced_accuracy,5,0.57692307692307687,0,0.57692307692307687,0.57692307692307687,0,model-randomness diagnostic only; seeds are ensemble members
