protocol,subject,direction,weight,predicted_benefit,predicted_benefit_raw,predicted_catastrophe,ood_fallback,max_abs_robust_z,feature_shift,meta_training_rows,meta_training_subjects,weight_at_zero,weight_at_frozen_cap_0_8,target_batch_recordings,gate_level,seed_level_gate_weight_available
cross_task,7,stroop_to_arithmetic,0.040942723325030697,-0.054609751789945198,-0.054609751789945198,0.075766220184922003,False,4.4137427603871204,0.97365664938684959,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,8,arithmetic_to_stroop,0.7783601096958952,0.10314667041919499,0.10314667041919499,0.62987304911070785,False,0.80722369628230606,0.0325189352295236,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,8,stroop_to_arithmetic,0.79092995470668004,0.11493173459883529,0.11493173459883529,0.51134183071864281,False,0.80229506255626559,0.031712115309128902,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,9,arithmetic_to_stroop,0.64639204563766661,0.061247965117578101,0.061247965117578101,0.65015826398734256,False,0.70884070071613547,0.1150489329065867,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,9,stroop_to_arithmetic,0.79992480097492358,0.19465234052795871,0.19465234052795871,0.18419291576418911,False,0.40407643007990812,0.1027325065644593,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,10,arithmetic_to_stroop,0.79999998660284277,0.35957273497490128,0.35957273497490128,0.029422809619905801,False,1.6593427351942476,0.3038331754642028,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,10,stroop_to_arithmetic,0.79999994834005317,0.33322548128268692,0.33322548128268692,0.042333840831444598,False,1.3144100793931892,0.24070790233802489,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,11,arithmetic_to_stroop,0.7999936402731469,0.24436351684522259,0.24436351684522259,0.19032088564547159,False,0.72251407189178363,0.29019837128132531,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,11,stroop_to_arithmetic,0.1648758265553949,-0.0115431124905439,-0.0115431124905439,0.30858891189221871,False,1.7987134421629027,0.28272672554367262,24,24,False,False,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,12,arithmetic_to_stroop,0.79999949846073182,0.31263729768415199,0.31263729768415199,0.53977005262271605,False,1.3219299319106663,0.069322805825121001,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,12,stroop_to_arithmetic,0.7999999979861665,0.39865109740169019,0.39865109740169019,0.052989105244992597,False,1.1720332366926689,0.067833365609039797,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,13,arithmetic_to_stroop,0.79999999966191104,0.46063671896009128,0.46063671896009128,0.57890699412285873,False,2.3030247555523333,0.33931511161971839,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
cross_task,13,stroop_to_arithmetic,0.79999925225292934,0.29020824264490719,0.29020824264490719,0.25094222453738368,False,0.78672274060299252,0.29378108740224901,24,24,False,True,3,one weight after five-seed ensemble per participant-direction cell,False
loso,1,arithmetic,0.54490996202467801,0.021091420833057699,0.021091420833057699,0.1182268163472518,False,0.76061456806467254,0.45303567553766538,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,2,arithmetic,0.79695529455031888,0.1145347303071807,0.1145347303071807,0.063736837731966506,False,0.56660428207582836,0.32369030425168549,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,3,arithmetic,0.79988634360509836,0.1771809021792998,0.1771809021792998,0,False,1.2456320419426927,0.27286704106989312,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,4,arithmetic,0.76886370058633757,0.0662588408420028,0.0662588408420028,0.042561061195661901,False,2.3125291804518224,0.71427248931034937,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,5,arithmetic,0.5868766681940818,0.027630959711991199,0.027630959711991199,0.1474417255365551,False,0.8436164320282552,0.2366099981386903,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,6,arithmetic,0.79966047413789509,0.1994969170131618,0.1994969170131618,0.88418138502359023,False,3.6721034293232022,0.5757108275004601,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,7,arithmetic,0.078152391540343702,-0.01178170175476,-0.01178170175476,0.65362732077529395,False,1.4930982919243201,0.16814299670860311,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
loso,8,arithmetic,0.68497147865001518,0.035683941820713598,0.035683941820713598,0,False,0.4420502996840181,0.38809486445345331,14,14,False,False,4,one weight after five-seed ensemble per participant-direction cell,False
