task,strategy,strategy_display,held_out_subject,recording_accuracy_mean,recording_accuracy_std,recording_accuracy_min,recording_accuracy_max,recording_balanced_accuracy_mean,recording_balanced_accuracy_std,recording_balanced_accuracy_min,recording_balanced_accuracy_max,recording_sensitivity_mean,recording_sensitivity_std,recording_sensitivity_min,recording_sensitivity_max,recording_specificity_mean,recording_specificity_std,recording_specificity_min,recording_specificity_max,recording_f1_mean,recording_f1_std,recording_f1_min,recording_f1_max,recording_auroc_mean,recording_auroc_std,recording_auroc_min,recording_auroc_max,recording_log_loss_mean,recording_log_loss_std,recording_log_loss_min,recording_log_loss_max,recording_brier_score_mean,recording_brier_score_std,recording_brier_score_min,recording_brier_score_max,window_accuracy_mean,window_accuracy_std,window_accuracy_min,window_accuracy_max,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_balanced_accuracy_min,window_balanced_accuracy_max,window_log_loss_mean,window_log_loss_std,window_log_loss_min,window_log_loss_max,recording_overlap_rate_mean,recording_overlap_rate_std,recording_overlap_rate_min,recording_overlap_rate_max,participant_overlap_rate_mean,participant_overlap_rate_std,participant_overlap_rate_min,participant_overlap_rate_max,validation_windows_with_raw_overlap_fraction_mean,validation_windows_with_raw_overlap_fraction_std,validation_windows_with_raw_overlap_fraction_min,validation_windows_with_raw_overlap_fraction_max,mean_nearest_train_raw_overlap_fraction_mean,mean_nearest_train_raw_overlap_fraction_std,mean_nearest_train_raw_overlap_fraction_min,mean_nearest_train_raw_overlap_fraction_max,n_evaluations
stroop,recording_disjoint,Recording-disjoint split,4,0.65000000000000002,0.24152294576982397,0.5,1,0.65000000000000002,0.24152294576982397,0.5,1,0.80000000000000004,0.4216370213557839,0,1,0.5,0.52704627669472992,0,1,0.6333333333333333,0.36683497820487065,0,1,1,0,1,1,1.0791169041160389,0.82154371979877672,0.0080538389231336396,1.9013036014968063,0.30608140227362107,0.21667131214279364,0.00012744334396377424,0.47793547619046617,0.70934019511125135,0.21122897751507969,0.41721854304635764,0.8932584269662921,0.69627808988764051,0.19250626969444876,0.48604566872055094,0.89583333333333326,1.4391146123143224,0.88497827624488645,0.31223408915969547,2.4194022935928388,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,5,0.75,0.26352313834736496,0.5,1,0.75,0.26352313834736496,0.5,1,1,0,1,1,0.5,0.52704627669472992,0,1,0.83333333333333326,0.17568209223157666,0.66666666666666663,1,1,0,1,1,0.90565930195712119,0.91708645726502658,0.00096724497828068186,1.9201943372362753,0.23633670536756174,0.24531972400400412,1.0187517182270627e-06,0.47870458697524454,0.6845215369828106,0.22048209976677766,0.44081632653061226,0.97727272727272729,0.69460502348768094,0.21180219867987668,0.5,0.9758652094717668,1.0734070780282892,0.88051833354539555,0.065479244222778177,2.1627375778325653,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,6,0.25,0.26352313834736496,0,0.5,0.25,0.26352313834736496,0,0.5,0,0,0,0,0.5,0.52704627669472992,0,1,0,0,0,0,0,0,0,0,11.059682825819962,8.5748249202469289,2.9339859642464816,20.396128282337944,0.7491242698866557,0.26443725399502671,0.49773461740868402,0.99999994395946457,0.26765055575106339,0.20342522854810005,0.065217391304347824,0.48231511254019294,0.28765160118101296,0.22402687001350494,0.065144976909682795,0.5,11.447232177810896,8.7790425369252958,3.1540808644509224,21.325876013132248,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,7,0.59999999999999998,0.21081851067789195,0.5,1,0.59999999999999998,0.21081851067789195,0.5,1,1,0,1,1,0.20000000000000001,0.42163702135578396,0,1,0.73333333333333328,0.14054567378526128,0.66666666666666663,1,1,0,1,1,1.9839109953498995,1.6247656767738901,0.28999815493183229,3.5306954213108317,0.32312418753388994,0.188031055220408,0.096843814545295878,0.49914259271316663,0.63230332995590388,0.13355187111050099,0.46632124352331605,0.82641509433962268,0.59334444181703794,0.12629705325126445,0.4686963058419244,0.77616494082840237,2.4552786879855391,1.0004892912426313,0.87166009137556055,3.6033964628473054,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,8,0.5,0,0.5,0.5,0.5,0,0.5,0.5,1,0,1,1,0,0,0,0,0.66666666666666663,0,0.66666666666666663,0.66666666666666663,0.5,0.52704627669472992,0,1,1.4269513406447896,0.70137208764820058,0.63799832546858415,2.220172892354586,0.38319708843954337,0.11865256652440334,0.22329002377788384,0.48824486794180322,0.51640140003101442,0.053756233125389082,0.453416149068323,0.59595959595959591,0.50080582733543255,0.032250218616948309,0.4560570987654321,0.53205128205128205,2.5389103932122739,0.49077352151678899,2.2243664880383647,3.4621980614828241,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,9,0.34999999999999998,0.24152294576982397,0,0.5,0.34999999999999998,0.24152294576982397,0,0.5,0.5,0.52704627669472992,0,1,0.20000000000000001,0.42163702135578396,0,1,0.33333333333333331,0.35136418446315326,0,0.66666666666666663,0.69999999999999996,0.48304589153964794,0,1,3.4612772425596248,2.225311616595198,1.8006249503762417,6.6764498141259123,0.62700972328905247,0.23137260966378465,0.47308276840729302,0.96218928270401594,0.4973498599831524,0.22320288330056112,0.23217247097844113,0.82692307692307687,0.4647041153510334,0.1646415801314379,0.22694932389738404,0.59090909090909094,3.9889798828867198,3.2659930276439404,0.83546902670368484,8.6199498497321034,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,10,0.34999999999999998,0.24152294576982397,0,0.5,0.34999999999999998,0.24152294576982397,0,0.5,0.20000000000000001,0.4216370213557839,0,1,0.5,0.52704627669472992,0,1,0.13333333333333333,0.28109134757052257,0,0.66666666666666663,0.69999999999999996,0.48304589153964794,0,1,3.1772494770950024,1.6720512352147632,1.0468924432523514,5.2499734055217626,0.52934895136498272,0.1172607746329673,0.38436270396941835,0.68725769188693198,0.5403667025937815,0.18800234221348902,0.27806122448979592,0.7138461538461538,0.45863591832725553,0.12383088423111666,0.28971145058101583,0.60593220338983045,3.4863377049280309,2.8986443226780501,0.93481611773978079,7.6346557296998645,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,11,0.75,0.26352313834736496,0.5,1,0.75,0.26352313834736496,0.5,1,1,0,1,1,0.5,0.52704627669472992,0,1,0.83333333333333326,0.17568209223157666,0.66666666666666663,1,1,0,1,1,1.416650561580072,1.4425249695585958,0.031480181073606762,2.7933235688213292,0.25034807974318052,0.2591484287164284,0.0018616273020453005,0.49625591845717432,0.69098974261495649,0.13240299676396458,0.53497942386831276,0.82887700534759357,0.64982081387819091,0.15808565253769413,0.5,0.81134930643127356,1.5640092190425996,0.9076725253497604,0.62910521216503756,2.6043701933908365,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,12,0.34999999999999998,0.24152294576982397,0,0.5,0.34999999999999998,0.24152294576982397,0,0.5,0.69999999999999996,0.48304589153964794,0,1,0,0,0,0,0.46666666666666662,0.32203059435976528,0,0.66666666666666663,0.29999999999999999,0.48304589153964794,0,1,2.2487309514399207,0.67592062616442838,1.5338773373028485,2.9944312310149486,0.53048226539668264,0.059161071150290311,0.48658815741591277,0.61600879114890161,0.488541294181635,0.08022882022283942,0.39304812834224601,0.60897435897435892,0.46986308608259825,0.053494643493729808,0.3923780923780924,0.50435540069686413,2.8026072136711249,0.34483385866211946,2.1732635606665931,3.0635461525901375,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
stroop,recording_disjoint,Recording-disjoint split,13,0.40000000000000002,0.21081851067789195,0,0.5,0.40000000000000002,0.21081851067789195,0,0.5,0.80000000000000004,0.4216370213557839,0,1,0,0,0,0,0.53333333333333333,0.28109134757052257,0,0.66666666666666663,0.20000000000000001,0.4216370213557839,0,1,4.9170954659905872,1.1986751749180338,3.8207269895048115,6.5721809300642695,0.56301185157047429,0.13267811717353892,0.49970053194885727,0.81475009096884787,0.43899202952947353,0.18119075388154254,0.17218543046357615,0.66420664206642066,0.39043645789547432,0.12462986143481727,0.18274134790528232,0.5,4.8077521549611522,1.2226754105015307,3.4606483703590527,6.4101582508651314,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10
