fold,held_out_subject,maximum_nearest_train_raw_overlap_fraction,mean_nearest_train_raw_overlap_fraction,overlapping_participants,overlapping_recordings,participant_overlap_rate,recording_accuracy,recording_auroc,recording_average_precision,recording_balanced_accuracy,recording_brier_score,recording_f1,recording_fn,recording_fp,recording_log_loss,recording_n,recording_n_class_0,recording_n_class_1,recording_overlap_rate,recording_pr_auc,recording_precision,recording_sensitivity,recording_specificity,recording_tn,recording_tp,split_seed,strategy,strategy_display,task,train_participants,train_recordings,train_windows,validation_participants,validation_recordings,validation_windows,validation_windows_with_raw_overlap_fraction,window_accuracy,window_auroc,window_average_precision,window_balanced_accuracy,window_brier_score,window_f1,window_fn,window_fp,window_log_loss,window_n,window_n_class_0,window_n_class_1,window_pr_auc,window_precision,window_sensitivity,window_specificity,window_tn,window_tp
1,3,0.94117647058823528,0.94117647058823528,1,4,1,1,1,1,1,6.6582581642255309e-05,1,0,0,0.0056623907578027995,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,500,1,4,69,1,1,1,1,1,0.00088910475107790835,1,0,0,0.013177432483870969,69,33,36,1,1,1,1,33,36
2,3,0.94117647058823528,0.94032395566922411,1,4,1,1,1,1,1,1.8886845772542695e-05,1,0,0,0.0031660034018001944,4,2,2,1,1,1,1,1,2,2,1494,random_window,Random-window split,arithmetic,1,4,500,1,4,69,1,1,1,1,1,0.00076091312244246936,1,0,0,0.011430107539843437,69,33,36,1,1,1,1,33,36
1,3,0.94117647058823528,0.94117647058823528,1,4,1,1,1,1,1,0.00024589684197629332,1,0,0,0.0089108089891856528,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,500,1,4,69,1,1,1,1,1,0.0031622380032080856,1,0,0,0.022707171129436772,69,33,36,1,1,1,1,33,36
2,3,0.94117647058823528,0.94117647058823528,1,4,1,1,1,1,1,5.0206876847850317e-05,1,0,0,0.005151893409490702,4,2,2,1,1,1,1,1,2,2,1547,random_window,Random-window split,arithmetic,1,4,500,1,4,69,1,1,1,1,1,0.00091042628730677319,1,0,0,0.016428597189509158,69,33,36,1,1,1,1,33,36
1,4,0.94117647058823528,0.94044117647058845,1,4,1,1,1,1,1,2.2257587802014741e-08,1,0,0,0.00012950813879893699,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,0.98750000000000004,1,1,0.99038461538461542,0.012338726485942425,0.99029126213592233,1,0,0.056467009079177899,80,28,52,1,1,0.98076923076923073,1,28,51
2,4,0.94117647058823528,0.94117647058823528,1,4,1,1,1,1,1,6.7318189147370304e-08,1,0,0,0.00017374352527757759,4,2,2,1,1,1,1,1,2,2,1335,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,3.3821359531010053e-05,1,0,0,0.0015041944267327756,80,28,52,1,1,1,1,28,52
1,4,0.94117647058823528,0.94044117647058845,1,4,1,1,1,1,1,6.7509189351254885e-08,1,0,0,0.00018294756173402069,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,0.00019578978006032214,1,0,0,0.0034794145965596907,80,28,52,1,1,1,1,28,52
2,4,0.94117647058823528,0.94044117647058845,1,4,1,1,1,1,1,1.1055153245999047e-08,1,0,0,7.1807261775977752e-05,4,2,2,1,1,1,1,1,2,2,1388,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,6.4571063045664046e-06,1,0,0,0.00077878203073605563,80,28,52,1,1,1,1,28,52
1,4,0.94117647058823528,0.94117647058823528,1,4,1,1,1,1,1,1.7695676736783322e-08,1,0,0,0.00010887496420384845,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,0.00032055243031156653,1,0,0,0.0044998835536878227,80,28,52,1,1,1,1,28,52
2,4,0.94117647058823528,0.93970588235294128,1,4,1,1,1,1,1,5.7344038185266237e-07,1,0,0,0.00042585817500383091,4,2,2,1,1,1,1,1,2,2,1441,random_window,Random-window split,arithmetic,1,4,586,1,4,80,1,1,1,1,1,0.00041139578369989106,1,0,0,0.004591623674665056,80,28,52,1,1,1,1,28,52
