bin_index,bin_lower,bin_upper,right_edge_included,n_recordings,mean_predicted_probability,observed_positive_rate,absolute_calibration_gap,dataset,protocol,direction,analysis_cell_display,method,method_display
2,0.20000000000000001,0.40000000000000002,False,1,0.3373004011886282,1,0.66269959881137175,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR
3,0.40000000000000002,0.60000000000000009,False,1,0.40951270320473437,1,0.59048729679526568,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR
4,0.60000000000000009,0.80000000000000004,False,4,0.7399841546563638,0.5,0.2399841546563638,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR
5,0.80000000000000004,1,True,30,0.95966039529410996,0.66666666666666663,0.29299372862744333,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,riemann_ts_logreg,Riemannian TS-LR
1,0,0.20000000000000001,False,2,0.070771364988511248,1,0.92922863501148878,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,stack_recording,OOF recording-level stacking
2,0.20000000000000001,0.40000000000000002,False,5,0.33595002576353034,0.59999999999999998,0.26404997423646964,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,stack_recording,OOF recording-level stacking
3,0.40000000000000002,0.60000000000000009,False,14,0.51715469434735417,0.5714285714285714,0.054273877081217226,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,stack_recording,OOF recording-level stacking
4,0.60000000000000009,0.80000000000000004,False,10,0.71232953731355408,0.80000000000000004,0.08767046268644596,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,stack_recording,OOF recording-level stacking
5,0.80000000000000004,1,True,8,0.86815856919461631,0.625,0.24315856919461631,openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,stack_recording,OOF recording-level stacking
1,0,0.20000000000000001,False,2,0.17138696138084761,1,0.82861303861915236,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused
2,0.20000000000000001,0.40000000000000002,False,13,0.31649067937778497,0.53846153846153844,0.22197085908375347,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused
3,0.40000000000000002,0.60000000000000009,False,17,0.52504092909215994,0.76470588235294112,0.23966495326078119,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused
4,0.60000000000000009,0.80000000000000004,False,4,0.62861233900997648,0.5,0.12861233900997648,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused
5,0.80000000000000004,1,True,3,0.97814182537454275,0.66666666666666663,0.31147515870787612,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_fuse,Always fused
1,0,0.20000000000000001,False,6,0.014712299342633371,0.66666666666666663,0.65195436732403322,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural
2,0.20000000000000001,0.40000000000000002,False,5,0.28250734541921296,0.80000000000000004,0.51749265458078708,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural
3,0.40000000000000002,0.60000000000000009,False,8,0.52161912003423105,0.625,0.10338087996576895,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural
4,0.60000000000000009,0.80000000000000004,False,7,0.69735203242416588,0.42857142857142855,0.26878060385273733,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural
5,0.80000000000000004,1,True,13,0.95955778892102783,0.76923076923076927,0.19032701969025856,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,always_nn,Always neural
1,0,0.20000000000000001,False,4,0.091195269297725826,0.75,0.65880473070227419,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
2,0.20000000000000001,0.40000000000000002,False,8,0.34139788805188287,0.625,0.28360211194811713,openbci,cross_task,stroop_to_arithmetic,Stroop to Arithmetic,cbsf,CB-SF
