dataset,protocol,direction,analysis_cell_display,method,method_display,n_participants,n_recordings,n_class_0,n_class_1,tn,fp,fn,tp,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
openbci,loso,arithmetic,Arithmetic LOSO,stack_recording,OOF recording-level stacking,15,60,30,30,20,10,14,16,0.59999999999999998,0.59999999999999998,0.53333333333333333,0.66666666666666663,0.61538461538461542,0.5714285714285714,0.64333333333333331,0.57295909558331493,0.59501315980762604,0.81414552688358666,0.26773008153173306,0.18459700586496117,0.35836808401420162,0.21918419470018904,0.28775618979690182,estimated
openbci,loso,stroop,Stroop LOSO,always_fuse,Always fused,13,52,26,26,16,10,12,14,0.57692307692307687,0.57692307692307687,0.53846153846153844,0.61538461538461542,0.58333333333333337,0.56000000000000005,0.67011834319526631,0.6585766057098672,0.66955999454937332,0.64452528228604955,0.22761334965683325,0.036960401477942439,0.18854974417054771,0.14699572198683267,1.1532329306255238,estimated
openbci,loso,stroop,Stroop LOSO,always_nn,Always neural,13,52,26,26,20,6,14,12,0.61538461538461542,0.61538461538461542,0.46153846153846156,0.76923076923076927,0.66666666666666663,0.54545454545454541,0.65976331360946749,0.62683246896886291,0.64150329537408823,1.5444718186872066,0.33419448641086941,0.28899853371600687,0.40733039265749915,0.38203910941255942,0.13838401639384734,estimated
openbci,loso,stroop,Stroop LOSO,cbsf,CB-SF,13,52,26,26,19,7,14,12,0.59615384615384615,0.59615384615384615,0.46153846153846156,0.73076923076923073,0.63157894736842102,0.53333333333333333,0.6375739644970414,0.64805934215889627,0.65861420381669122,1.220771588890218,0.30499343830613124,0.2136304330038484,0.32541973190044537,0.23811499262411462,0.13723103245349333,estimated
openbci,loso,stroop,Stroop LOSO,dasf_clean,DASF,13,52,26,26,20,6,14,12,0.61538461538461542,0.61538461538461542,0.46153846153846156,0.76923076923076927,0.66666666666666663,0.54545454545454541,0.65976331360946749,0.62683246896886291,0.64150329537408823,1.5444718186872133,0.33419448641086957,0.28899853371600709,0.40733039265749943,0.38203910941255909,0.13838401639384654,estimated
openbci,loso,stroop,Stroop LOSO,eeg_conformer,EEG-Conformer,13,52,26,26,17,9,10,16,0.63461538461538458,0.63461538461538458,0.61538461538461542,0.65384615384615385,0.64000000000000001,0.62745098039215685,0.67159763313609466,0.63500360816039747,0.64941995025873722,0.96734204201355756,0.29515501904787267,0.24839014518253011,0.32448319719596852,0.040285796729677671,0.22953306669024962,estimated
openbci,loso,stroop,Stroop LOSO,eegnet,EEGNet,13,52,26,26,16,10,7,19,0.67307692307692313,0.67307692307692313,0.73076923076923073,0.61538461538461542,0.65517241379310343,0.69090909090909092,0.66272189349112431,0.63392955434358711,0.645460173548284,0.74511270541099384,0.25128832911228038,0.17355646325069723,0.36152425292590806,-0.038384970054737066,0.3585378379768383,estimated
openbci,loso,stroop,Stroop LOSO,equal_blend_050,Equal blend (50%),13,52,26,26,19,7,13,13,0.61538461538461542,0.61538461538461542,0.5,0.73076923076923073,0.65000000000000002,0.56521739130434778,0.66420118343195267,0.64191577116697707,0.65588133250815861,0.69909937660546462,0.2514060237822891,0.14459792672749988,0.25085038816449601,0.21945934747126009,0.5276257799489058,estimated
openbci,loso,stroop,Stroop LOSO,extra_trees,Extra Trees,13,52,26,26,21,5,19,7,0.53846153846153844,0.53846153846153844,0.26923076923076922,0.80769230769230771,0.58333333333333337,0.36842105263157893,0.68639053254437865,0.62678016115581303,0.64979811154078837,0.6511184453691482,0.23292613976840915,0.14550685616693887,0.21137039579520206,0.55471154588649607,1.1696648819089894,estimated
openbci,loso,stroop,Stroop LOSO,fixed_blend_010,Fixed blend (10%),13,52,26,26,19,7,14,12,0.59615384615384615,0.59615384615384615,0.46153846153846156,0.73076923076923073,0.63157894736842102,0.53333333333333333,0.66715976331360949,0.6339647620290495,0.64841217297526188,0.90763286863403347,0.30113911783731051,0.24087886221002416,0.39247962548930115,0.26001393308734067,0.27046109023069337,estimated
openbci,loso,stroop,Stroop LOSO,fixed_blend_025,Fixed blend (25%),13,52,26,26,19,7,14,12,0.59615384615384615,0.59615384615384615,0.46153846153846156,0.73076923076923073,0.63157894736842102,0.53333333333333333,0.67011834319526631,0.64547811653329468,0.65940299838916427,0.78391409894137909,0.27701246694533743,0.19927453829712946,0.29749686087056976,0.23853521236606851,0.36193874489349215,estimated
openbci,loso,stroop,Stroop LOSO,rf,Random forest,13,52,26,26,20,6,16,10,0.57692307692307687,0.57692307692307698,0.38461538461538464,0.76923076923076927,0.625,0.47619047619047616,0.64201183431952658,0.60398497517904048,0.61910909839452566,0.69386685309227913,0.25137580706145812,0.1433671455145325,0.33038640514458817,0.37781221573037538,0.67290648109678219,estimated
openbci,loso,stroop,Stroop LOSO,riemann_mdm,Riemannian MDM,13,52,26,26,17,9,15,11,0.53846153846153844,0.53846153846153844,0.42307692307692307,0.65384615384615385,0.55000000000000004,0.47826086956521741,0.57544378698224852,0.61156120063474317,0.62045079685511562,1.4416098612839781,0.37782450886029184,0.35973568332114281,0.45711955553473516,0.076564482006560727,0.081667638958821689,estimated
openbci,loso,stroop,Stroop LOSO,riemann_ts_logreg,Riemannian TS-LR,13,52,26,26,15,11,11,15,0.57692307692307687,0.57692307692307687,0.57692307692307687,0.57692307692307687,0.57692307692307687,0.57692307692307687,0.60059171597633143,0.57705294848613575,0.59789986243182958,1.2005029382457248,0.29340470930106044,0.19924428131795699,0.41768232406800559,0.0050555818865559094,0.053665270582161834,estimated
openbci,loso,stroop,Stroop LOSO,stack_recording,OOF recording-level stacking,13,52,26,26,16,10,11,15,0.59615384615384615,0.59615384615384615,0.57692307692307687,0.61538461538461542,0.59999999999999998,0.58823529411764708,0.66124260355029585,0.63969519969643629,0.65377462964869093,0.7761865389699556,0.27039325085361121,0.20328178669118963,0.32775835848055301,0.16606436613671322,0.3433984067790038,estimated
