dataset,protocol,direction,analysis_cell_display,method,method_display,metric,n_participants_total,n_participants_valid,mean,standard_deviation,median,q1,q3,minimum,maximum
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_fuse,Always fused,brier_score,13,13,0.26260023231664315,0.045221619375245478,0.24427576261658046,0.24016306041406468,0.27653132005437325,0.20837851902072671,0.37117644290459789
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,accuracy,13,13,0.64102564102564108,0.16451603893094152,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.33333333333333331,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,balanced_accuracy,13,13,0.53846153846153844,0.17218430793029862,0.5,0.5,0.5,0.25,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,sensitivity,13,13,0.84615384615384615,0.31521258597805757,1,1,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,specificity,13,13,0.23076923076923078,0.4385290096535146,0,0,0,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,precision,13,12,0.70833333333333337,0.14433756729740643,0.66666666666666663,0.66666666666666663,0.66666666666666663,0.5,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,f1,13,13,0.72051282051282051,0.24249416241101313,0.80000000000000004,0.80000000000000004,0.80000000000000004,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,auroc,13,13,0.61538461538461542,0.41602514716892186,0.5,0.5,1,0,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,pr_auc,13,13,0.80128205128205121,0.23823828120702736,0.79166666666666663,0.79166666666666663,1,0.41666666666666663,1
openbci,cross_task,arithmetic_to_stroop,Arithmetic to Stroop,always_nn,Always neural,average_precision,13,13,0.85256410256410264,0.17062604684879704,0.83333333333333326,0.83333333333333326,1,0.58333333333333326,1
