Analysis setting,Method,n_participants,n_recordings,n_class_0,n_class_1,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,auroc,pr_auc,average_precision,log_loss,brier_score,ece_5_bins,maximum_calibration_error_5_bins,calibration_intercept,calibration_slope,calibration_fit_status
Arithmetic to Stroop,Random forest,13,39,13,26,0.6666666666666666,0.6153846153846154,0.7692307692307692,0.4615384615384615,0.7407407407407407,0.7547169811320755,0.57396449704142,0.7040363075372958,0.7177906517946773,0.8747471927718751,0.2495950797443965,0.1381430440567214,0.8137441405538756,0.6695291321925138,0.0199420374795363,estimated
Arithmetic to Stroop,Riemannian MDM,13,39,13,26,0.641025641025641,0.5,0.9230769230769232,0.0769230769230769,0.6666666666666666,0.7741935483870968,0.5355029585798816,0.711058700991618,0.7214066782622933,1.1660792607457997,0.2725834315606823,0.1548296487618002,0.9148911854421152,0.6628922620768333,0.011828274380189,estimated
Arithmetic to Stroop,Riemannian TS-LR,13,39,13,26,0.5897435897435896,0.4615384615384615,0.8461538461538461,0.0769230769230769,0.6470588235294118,0.7333333333333332,0.5236686390532544,0.750613636554494,0.7566129761552401,1.6816681260115487,0.3474233325126959,0.3327424331783343,0.6626995988113717,0.5665898198957618,0.0354141304084404,estimated
Arithmetic to Stroop,OOF recording-level stacking,13,39,13,26,0.5641025641025641,0.5,0.6923076923076922,0.3076923076923077,0.6666666666666666,0.6792452830188678,0.4999999999999999,0.6798746492082821,0.6911961217532294,0.8199899743376607,0.2782701710995577,0.1733465282247117,0.9292286350114888,0.7199896038081764,-0.059840606551153,estimated
Stroop to Arithmetic,Always fused,13,39,13,26,0.4871794871794871,0.4807692307692307,0.5,0.4615384615384615,0.65,0.5652173913043477,0.4437869822485207,0.647514134764596,0.6622681308633611,0.8809597375177536,0.3052384016525137,0.2581032380236901,0.8286130386191523,0.698066870852421,-0.0302552343606685,estimated
Stroop to Arithmetic,Always neural,13,39,13,26,0.5641025641025641,0.5192307692307692,0.6538461538461539,0.3846153846153846,0.68,0.6666666666666666,0.5059171597633136,0.6854832736671824,0.6992652324354197,2.216924965506494,0.3387465738403504,0.2995372307568412,0.6519543673240332,0.6981872114330879,-0.0043182840618848,estimated
Stroop to Arithmetic,CB-SF,13,39,13,26,0.5384615384615384,0.519230769230769,0.5769230769230768,0.4615384615384615,0.6818181818181817,0.625,0.5029585798816567,0.6809108377880934,0.6948403869806713,0.9341419345043736,0.3011229562073049,0.2339684258929978,0.6588047307022741,0.6804750494164937,0.0382982952862291,estimated
Stroop to Arithmetic,DASF,13,39,13,26,0.5128205128205127,0.4615384615384615,0.6153846153846154,0.3076923076923077,0.64,0.6274509803921569,0.4615384615384615,0.6657855850808079,0.6796893560747117,1.7594381020109593,0.3554760802928835,0.3278995368662619,0.7352622030524733,0.6981604672090175,-0.0148554203728908,estimated
Stroop to Arithmetic,EEG-Conformer,13,39,13,26,0.641025641025641,0.5576923076923077,0.8076923076923077,0.3076923076923077,0.6999999999999998,0.75,0.5562130177514792,0.7110046010902308,0.7218549448947446,1.2337691551393226,0.3051194248719244,0.2478882226469675,0.7818487035358201,0.705220048977458,-0.0118761965798555,estimated
Stroop to Arithmetic,EEGNet,13,39,13,26,0.5897435897435896,0.519230769230769,0.7307692307692307,0.3076923076923077,0.6785714285714286,0.7037037037037037,0.5207100591715976,0.6541768615030944,0.6776470957180308,0.7125258333622752,0.2436412292545845,0.1764050927050885,0.2586759519909425,0.6012364440025738,0.1727607264515444,estimated
Stroop to Arithmetic,Equal blend (50%),13,39,13,26,0.5897435897435896,0.5769230769230768,0.6153846153846154,0.5384615384615384,0.7272727272727272,0.6666666666666666,0.5266272189349112,0.6871488113105138,0.7011143136465648,0.8849727029501109,0.2906627396285693,0.2239350544114432,0.5301367760938442,0.6930159348450222,0.0002868878497945,estimated
Stroop to Arithmetic,Extra Trees,13,39,13,26,0.6153846153846154,0.5961538461538461,0.6538461538461539,0.5384615384615384,0.7391304347826086,0.693877551020408,0.5502958579881656,0.7048938300945052,0.7184327955975495,0.7264544375134591,0.2579871830261919,0.1399898613339884,0.3438711218740921,0.6688331264709817,0.0764399064518564,estimated
Stroop to Arithmetic,Fixed blend (10%),13,39,13,26,0.5641025641025641,0.5384615384615385,0.6153846153846154,0.4615384615384615,0.6956521739130433,0.6530612244897958,0.5207100591715976,0.686443453430633,0.7003703670976754,1.018884220140142,0.3017084634539041,0.2326260707757752,0.5093804157060489,0.6904833635116333,0.0040302557464601,estimated
Stroop to Arithmetic,Fixed blend (25%),13,39,13,26,0.5897435897435896,0.5769230769230768,0.6153846153846154,0.5384615384615384,0.7272727272727272,0.6666666666666666,0.5473372781065089,0.6976395839210103,0.7114052540305342,0.9352108413263251,0.2937910629149902,0.2557794638933165,0.6432454713011729,0.6909035301169018,0.0041962596046735,estimated
Stroop to Arithmetic,Random forest,13,39,13,26,0.5128205128205127,0.519230769230769,0.5,0.5384615384615384,0.6842105263157894,0.5777777777777777,0.5147928994082839,0.6785424076403009,0.6928152084152451,0.8217061821976702,0.2941783486014289,0.2338968939171405,0.5448150067466879,0.6848314743990083,0.0458875724230331,estimated
Stroop to Arithmetic,Riemannian MDM,13,39,13,26,0.641025641025641,0.5769230769230769,0.7692307692307692,0.3846153846153846,0.7142857142857143,0.7407407407407407,0.5946745562130177,0.7505220781278676,0.7588768545634234,1.4476450989235077,0.2902039109869982,0.2207218247577087,0.5556936139345582,0.7025564116422166,0.0475853953170975,estimated
Stroop to Arithmetic,Riemannian TS-LR,13,39,13,26,0.4615384615384615,0.4807692307692307,0.423076923076923,0.5384615384615384,0.6470588235294118,0.5116279069767442,0.559171597633136,0.6672730893329676,0.690872177416432,1.5441454391996436,0.3627571580750954,0.3668984578938743,0.7044329642089666,0.7472806399121964,0.0536824611705261,estimated
Stroop to Arithmetic,OOF recording-level stacking,13,39,13,26,0.4615384615384615,0.4807692307692307,0.423076923076923,0.5384615384615384,0.6470588235294118,0.5116279069767442,0.4644970414201183,0.6539323626497561,0.6684220482695729,2.0163231338588217,0.4069935320321504,0.4062944780432851,0.6237907097535027,0.6778314778684732,-0.017793409045352,estimated
Arithmetic LOSO,Always fused,15,60,30,30,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6644444444444443,0.5706156820777373,0.5927445837907759,0.642289861620362,0.2263238930546797,0.1180692510286759,0.1523706162586333,0.0895778890191981,1.2745097890555528,estimated
Arithmetic LOSO,Always neural,15,60,30,30,0.5833333333333333,0.5833333333333331,0.5,0.6666666666666666,0.5999999999999999,0.5454545454545454,0.6699999999999999,0.5850272571425604,0.6070536776676198,1.0703258467338184,0.312979560716983,0.275234152012776,0.5230784446501726,0.3477435533148554,0.2089415648685003,estimated
Arithmetic LOSO,CB-SF,15,60,30,30,0.5999999999999999,0.5999999999999999,0.5333333333333333,0.6666666666666666,0.6153846153846154,0.5714285714285714,0.6344444444444444,0.5718530705204953,0.5939204668097988,0.7071126053426589,0.2481994214738944,0.1181371734908932,0.1842736920716465,0.1485754598547727,0.4473084789658786,estimated
Arithmetic LOSO,DASF,15,60,30,30,0.5833333333333333,0.5833333333333331,0.5,0.6666666666666666,0.5999999999999999,0.5454545454545454,0.6566666666666667,0.5782436994329917,0.6003062520963213,1.0531598693213935,0.3085619253500285,0.2600104804021143,0.3942844654570535,0.2979732442169896,0.1994150634324107,estimated
Arithmetic LOSO,EEG-Conformer,15,60,30,30,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.6999999999999998,0.6785714285714286,0.6551724137931034,0.6733333333333333,0.6765224915919633,0.6880845848662288,0.9354313847206924,0.2685831779526575,0.2023149601161619,0.4788210762602127,0.0824347773700406,0.2278891307007952,estimated
Arithmetic LOSO,EEGNet,15,60,30,30,0.6166666666666667,0.6166666666666667,0.6333333333333333,0.5999999999999999,0.6129032258064516,0.6229508196721311,0.6522222222222221,0.5914017466805461,0.6130179874006589,0.6622857623251182,0.2356269411631077,0.0486622599030405,0.3249206917860685,0.0371619348617221,0.5982443312943547,estimated
Arithmetic LOSO,Equal blend (50%),15,60,30,30,0.5999999999999999,0.5999999999999999,0.5333333333333333,0.6666666666666666,0.6153846153846154,0.5714285714285714,0.6622222222222222,0.585863363413578,0.6078052162445216,0.6812948000916978,0.2443160691590657,0.1292586285916268,0.3078335348227941,0.1643427795280508,0.5682969917445398,estimated
Arithmetic LOSO,Extra Trees,15,60,30,30,0.5166666666666667,0.5166666666666666,0.3333333333333333,0.6999999999999998,0.5263157894736841,0.4081632653061224,0.6188888888888888,0.5515186269327123,0.5708146158123543,0.6803251754442374,0.2452564589865313,0.1184429660505492,0.1589493669247072,0.1501810858131538,0.6149045950416319,estimated
Arithmetic LOSO,Fixed blend (10%),15,60,30,30,0.5833333333333333,0.5833333333333331,0.5,0.6666666666666666,0.5999999999999999,0.5454545454545454,0.6622222222222222,0.5859660419846844,0.6079065685606452,0.8300699464645742,0.2856155761520534,0.2292873134767949,0.2699225308784126,0.2057575302781261,0.3054363506653641,estimated
