Analysis setting,Comparison family,Primary metric,Reference,Method,n_participants,reference_mean,method_mean,mean_paired_difference_pp,ci95_percentile_low_pp,ci95_percentile_high_pp,standardized_paired_effect_dz,paired_rank_biserial,participants_method_better,participants_equal,participants_method_worse,wilcoxon_raw_p,wilcoxon_status,n_zero_differences,n_nonzero_differences,bh_adjusted_p_reporting_family,bh_adjusted_p_single_family_65_sensitivity,superiority_established
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Extra Trees,13,0.6153846153846154,0.5384615384615384,-7.6923076923076925,-21.153846153846157,3.8461538461538463,-0.32479917717646,-0.3968253968253968,2,7,4,0.3353862566274221,approx_pratt_no_correction,7,6,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Fixed blend (10%),13,0.6153846153846154,0.5961538461538461,-1.9230769230769231,-5.769230769230769,0.0,-0.2773500981126145,-1.0,0,12,1,0.3173105078629141,approx_pratt_no_correction,12,1,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Fixed blend (25%),13,0.6153846153846154,0.5961538461538461,-1.9230769230769231,-5.769230769230769,0.0,-0.2773500981126145,-1.0,0,12,1,0.3173105078629141,approx_pratt_no_correction,12,1,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Equal blend (50%),13,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,,0.0,0,13,0,1.0,all_zero_p_assigned_1,13,0,1.0,1.0,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,OOF recording-level stacking,13,0.6153846153846154,0.5961538461538461,-1.9230769230769231,-7.6923076923076925,3.8461538461538463,-0.1558573000398393,-0.3333333333333333,1,10,2,0.5637028616507731,approx_pratt_no_correction,10,3,0.805070065067075,0.8279089321611763,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,DASF,13,0.6153846153846154,0.6153846153846154,0.0,0.0,0.0,,0.0,0,13,0,1.0,all_zero_p_assigned_1,13,0,1.0,1.0,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,CB-SF,13,0.6153846153846154,0.5961538461538461,-1.9230769230769231,-5.769230769230769,0.0,-0.2773500981126145,-1.0,0,12,1,0.3173105078629141,approx_pratt_no_correction,12,1,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Riemannian TS-LR,13,0.6153846153846154,0.5769230769230768,-3.8461538461538463,-15.384615384615383,5.769230769230769,-0.1921537845661045,-0.2363636363636363,2,8,3,0.5986418432550044,approx_pratt_no_correction,8,5,0.805070065067075,0.8279089321611763,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,Riemannian MDM,13,0.6153846153846154,0.5384615384615384,-7.6923076923076925,-19.230769230769237,3.8461538461538463,-0.359937016532678,-0.4571428571428571,2,6,5,0.2299390189412401,approx_pratt_no_correction,6,7,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,EEGNet,13,0.6153846153846154,0.6730769230769231,5.769230769230769,0.0,11.538461538461538,0.5262348115842175,1.0,3,10,0,0.0832645166635504,approx_pratt_no_correction,10,3,0.6700538844387623,0.7019612122691796,False
Stroop LOSO,39 complete-setting comparisons,balanced_accuracy,Always neural,EEG-Conformer,13,0.6153846153846154,0.6346153846153845,1.9230769230769231,-3.8461538461538463,7.6923076923076925,0.1558573000398393,0.3333333333333333,2,10,1,0.5637028616507731,approx_pratt_no_correction,10,3,0.805070065067075,0.8279089321611763,False
