Task,Label definition,Analysis role,Metric,Participants,Participant-macro mean,Participant SD,95% CI low,95% CI high
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,F1 score,13,0.4666666666666666,0.3944053188733077,0.2564102564102563,0.6666666666666667
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,AUROC,13,0.6730769230769231,0.257888367819121,0.5384615384615384,0.8076923076923077
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,PR-AUC,13,0.7275641025641024,0.2329954054790758,0.6025641025641025,0.846153846153846
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,average_precision,13,0.7884615384615385,0.1721843079302986,0.6987179487179486,0.8717948717948718
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,Log loss,13,1.2675133929433773,1.206556874586422,0.733284358721587,1.9842066656965116
Stroop,Natural/low vs medium/high,manuscript primary binary mapping,Brier score,13,0.3183334103710929,0.1717474054685091,0.2283644129609178,0.4091960827427201
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,Recording accuracy,13,0.6923076923076922,0.2531848417709166,0.5576923076923077,0.8269230769230768
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,Recording balanced accuracy,13,0.641025641025641,0.2341864745097479,0.5256410256410255,0.7692307692307692
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,Sensitivity,13,0.7435897435897435,0.3885835186895488,0.5384615384615384,0.9230769230769232
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,Specificity,13,0.5384615384615384,0.5188745216627709,0.3076923076923077,0.7692307692307692
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,F1 score,13,0.7117216117216117,0.3443344242289069,0.5219688644688643,0.8736263736263736
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,AUROC,13,0.6666666666666667,0.4714045207910316,0.4102564102564102,0.8974358974358972
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,PR-AUC,13,0.8429487179487178,0.2298589861841341,0.7231036324786325,0.9551282051282052
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,average_precision,13,0.8824786324786325,0.1705390593097001,0.7927350427350426,0.9658119658119658
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,Log loss,13,2.110425161489769,2.816004978484921,0.8254950723499745,3.694585396784877
Stroop,Natural vs low/medium/high,lower-threshold sensitivity,Brier score,13,0.2666532259191468,0.2563498422528495,0.1413591090943688,0.4079404040714719
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,Recording accuracy,13,0.6153846153846154,0.1650563229433812,0.5192307692307692,0.6923076923076922
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,Recording balanced accuracy,13,0.5384615384615384,0.1687898945139444,0.4487179487179486,0.6282051282051281
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,Sensitivity,13,0.3846153846153846,0.5063696835418333,0.1538461538461538,0.6153846153846154
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,Specificity,13,0.6923076923076922,0.3180245291476762,0.5384615384615383,0.8461538461538461
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,F1 score,13,0.2051282051282051,0.2734708847141223,0.0769230769230769,0.3461538461538461
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,AUROC,13,0.6666666666666667,0.3333333333333333,0.4871794871794871,0.846153846153846
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,PR-AUC,13,0.5096153846153846,0.405458219205589,0.3141025641025641,0.7115384615384615
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,average_precision,13,0.6346153846153845,0.3109469957855103,0.4743589743589743,0.7948717948717949
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,Log loss,13,1.4074272844233098,1.7932637244732852,0.7380226064289596,2.467964664210524
Stroop,Natural/low/medium vs high,upper-threshold sensitivity,Brier score,13,0.2780226753964399,0.1279606958559238,0.2145007222072175,0.347827139654696
