Section,Analysis setting,Method,Metric,Outer cells,Seeds,"Inner folds per outer seed, minimum","Inner folds per outer seed, maximum",Outer-training participants,Outer-training recordings,Inner-training participants,Inner-training recordings,Inner-validation participants,Inner-validation recordings,Outer-test recordings,Minimum inner-training windows,Median inner-training windows,Maximum inner-training windows,Seed mean,Seed standard deviation,Seed minimum,Seed maximum,Seed range,Interpretation
Five-seed stability diagnostic,Arithmetic LOSO,Extra Trees,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Extra Trees,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Random forest,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Random forest,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5166666666666667,0.0,0.5166666666666667,0.5166666666666667,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Riemannian MDM,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Riemannian MDM,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Riemannian TS-LR,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5,0.0,0.5,0.5,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Arithmetic LOSO,Riemannian TS-LR,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5,0.0,0.5,0.5,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Always fused,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5846153846153845,0.0291649055540444,0.5576923076923077,0.6346153846153845,0.0769230769230768,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Always fused,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5846153846153845,0.0291649055540444,0.5576923076923077,0.6346153846153845,0.0769230769230768,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Always neural,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5846153846153846,0.0349344271626633,0.5384615384615384,0.6153846153846154,0.0769230769230769,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Always neural,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5846153846153846,0.0349344271626633,0.5384615384615384,0.6153846153846154,0.0769230769230769,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,EEG-Conformer,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.623076923076923,0.0501477108092511,0.5576923076923077,0.6923076923076922,0.1346153846153845,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,EEG-Conformer,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.623076923076923,0.0501477108092511,0.5576923076923077,0.6923076923076922,0.1346153846153845,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,EEGNet,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.6153846153846154,0.0192307692307692,0.5961538461538461,0.6346153846153845,0.0384615384615384,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,EEGNet,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.6153846153846154,0.0192307692307692,0.5961538461538461,0.6346153846153845,0.0384615384615384,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Extra Trees,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5576923076923077,0.0135982073305105,0.5384615384615384,0.5769230769230768,0.0384615384615384,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Extra Trees,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5576923076923077,0.0135982073305105,0.5384615384615384,0.5769230769230768,0.0384615384615384,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Random forest,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5769230769230768,0.0,0.5769230769230768,0.5769230769230768,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Random forest,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5769230769230768,0.0,0.5769230769230768,0.5769230769230768,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Riemannian MDM,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615384,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Riemannian MDM,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5384615384615384,0.0,0.5384615384615384,0.5384615384615384,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Riemannian TS-LR,Participant-macro recording accuracy,,5,,,,,,,,,,,,,0.5769230769230768,0.0,0.5769230769230768,0.5769230769230768,0.0,Model-randomness diagnostic only; seeds are ensemble members.
Five-seed stability diagnostic,Stroop LOSO,Riemannian TS-LR,Participant-macro recording balanced accuracy,,5,,,,,,,,,,,,,0.5769230769230768,0.0,0.5769230769230768,0.5769230769230768,0.0,Model-randomness diagnostic only; seeds are ensemble members.
