dataset,protocol,direction,subject,method,accuracy,n_recordings,method_display
openbci,loso,stroop,1,fixed_blend_010,0.5,4,Fixed 10% fusion
openbci,loso,stroop,2,fixed_blend_010,0.5,4,Fixed 10% fusion
openbci,loso,stroop,3,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,4,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,5,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,6,fixed_blend_010,0.5,4,Fixed 10% fusion
openbci,loso,stroop,7,fixed_blend_010,0.5,4,Fixed 10% fusion
openbci,loso,stroop,8,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,9,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,10,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,11,fixed_blend_010,0.5,4,Fixed 10% fusion
openbci,loso,stroop,12,fixed_blend_010,0.5,4,Fixed 10% fusion
openbci,loso,stroop,13,fixed_blend_010,0.25,4,Fixed 10% fusion
openbci,loso,stroop,14,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,15,fixed_blend_010,0.75,4,Fixed 10% fusion
openbci,loso,stroop,1,fixed_blend_025,0.5,4,Fixed 25% fusion
openbci,loso,stroop,2,fixed_blend_025,0.5,4,Fixed 25% fusion
openbci,loso,stroop,3,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,4,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,5,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,6,fixed_blend_025,0.5,4,Fixed 25% fusion
openbci,loso,stroop,7,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,8,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,9,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,10,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,11,fixed_blend_025,0.5,4,Fixed 25% fusion
openbci,loso,stroop,12,fixed_blend_025,0.5,4,Fixed 25% fusion
openbci,loso,stroop,13,fixed_blend_025,0.25,4,Fixed 25% fusion
openbci,loso,stroop,14,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,15,fixed_blend_025,0.75,4,Fixed 25% fusion
openbci,loso,stroop,1,rf,0.5,4,Random forest
openbci,loso,stroop,2,rf,0.5,4,Random forest
openbci,loso,stroop,3,rf,0.5,4,Random forest
openbci,loso,stroop,4,rf,0.5,4,Random forest
openbci,loso,stroop,5,rf,0.5,4,Random forest
openbci,loso,stroop,6,rf,0.5,4,Random forest
openbci,loso,stroop,7,rf,0.5,4,Random forest
openbci,loso,stroop,8,rf,0.5,4,Random forest
openbci,loso,stroop,9,rf,0.5,4,Random forest
openbci,loso,stroop,10,rf,0.75,4,Random forest
openbci,loso,stroop,11,rf,0.5,4,Random forest
openbci,loso,stroop,12,rf,0.75,4,Random forest
openbci,loso,stroop,13,rf,0.5,4,Random forest
openbci,loso,stroop,14,rf,0.75,4,Random forest
openbci,loso,stroop,15,rf,0.75,4,Random forest
openbci,loso,stroop,1,riemann_mdm,0.75,4,Riemannian MDM
openbci,loso,stroop,2,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,3,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,4,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,5,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,6,riemann_mdm,0.25,4,Riemannian MDM
openbci,loso,stroop,7,riemann_mdm,0.75,4,Riemannian MDM
openbci,loso,stroop,8,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,9,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,10,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,11,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,12,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,13,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,14,riemann_mdm,0.5,4,Riemannian MDM
openbci,loso,stroop,15,riemann_mdm,0.75,4,Riemannian MDM
openbci,loso,stroop,1,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,2,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,3,riemann_ts_logreg,0.75,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,4,riemann_ts_logreg,0.5,4,Riemannian tangent-space logistic regression
openbci,loso,stroop,5,riemann_ts_logreg,0.75,4,Riemannian tangent-space logistic regression
